Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
2003-06-30,0.037467032962460234,0.061752062516710726,0.004823597708331739,0.02034383046289845,-0.17025282385887353,0.04085139009071059,1.2237512302087472,1.2237512302087472,1.2500000000000004,1.166666666666667,0.3418428292677653,-0.29343619545494914,-1.0336560861578667,-1.2206915867613761,0.0886099036099035,0.19038748137108796,-0.04249547920434005,-0.1724137931034483,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.11111111111111116,0.04059989287627208
2003-09-30,0.05989257488336652,0.12073469995841202,0.0493439060435199,0.029086469026636808,-0.021394942504992076,0.026671059059061974,-0.7273454302640672,-0.7273454302640672,-0.7407407407407407,-0.7307692307692307,-0.11934196162785549,3.3114483254018134,19.53106850186968,-3.5975876374417437,-0.21143661233351307,0.168701095461659,-0.24929178470254953,-0.02083333333333337,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.09999999999999987,0.08904673666872553
2003-12-31,0.1481486695357448,-0.1352670849438512,0.14657653938210102,0.13301624841936732,0.13515819284817487,0.04206514516678772,-0.9236815127007632,-0.9236815127007632,-1.0,-0.8571428571428572,-1.349029850063579,-0.11401057134407688,3.250644242506443,-2.5702391118701966,0.4210264432259392,-0.0498125334761651,-1.4276729559748427,0.14893617021276606,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,-0.011363636363636354,-0.23678986671708102
2004-03-31,-0.1513010252579493,0.0822855457120657,-0.1295578251895958,-0.06620741499329919,0.030169758765898003,0.04388173275026985,-17.002238805970148,-17.002238805970148,-inf,-10.0,-4.8910715923833985,-2.3995138944389334,-2.316099917950588,-1.6631752340113999,-0.19648776512384392,0.010710259301014657,-0.45882352941176474,0.03703703703703698,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.02298850574712641,0.15902898191726522
2004-06-30,-0.06215571293800892,-0.23860569307777613,0.03679954011906572,0.08130956743635154,0.6356800714503961,0.12528009945587915,-2.989367159445973,-2.989367159445973,-3.0,-3.0,-0.41281372509396597,-0.814598085717229,-0.5232247875148064,0.37346927510861927,-0.3358628489010539,-0.10513106525376448,-0.34782608695652173,0.7098214285714284,0.0,0.6464853771164703,inf,0.0,-0.38942307692307687,0.0674157303370786,-0.2958431288736909
2004-09-30,0.021949468601402344,-0.038156615759457946,0.01333709137123984,0.5177113452341258,-0.016548149476501184,0.047757990181767296,0.1986145623329738,0.1986145623329738,0.22222222222222232,0.22222222222222232,0.6250709799535403,-0.6241167304835183,-0.8798175760983427,-1.7545010391429654,0.38156104968084814,-0.07821751324400139,0.875,-0.018276762402088864,0.0,0.35556248052352735,inf,0.0,0.7244094488188977,0.08421052631578951,-0.36626451172319596
2004-12-31,-0.0227745153766149,-0.1702899518029528,0.02876054203414058,-0.32062738509099664,0.21458924713084016,0.03676609150693144,-0.3147143094630407,-0.3147143094630407,-0.2727272727272727,-0.2727272727272727,-0.12870469393589645,-1.6846460361836821,4.456781914893617,-1.9402566570664395,-0.2596811173292368,0.08688302907369838,0.5466666666666666,0.21276595744680837,0.0,-0.4225862068965517,inf,0.0,0.36986301369863006,0.12621359223300965,0.22126436781609193
2005-03-31,0.09117195975570547,0.09873572616958826,0.03716391104570116,0.049325124947812826,-0.11952341724520887,0.04811055287831656,3.531008305031536,3.531008305031536,3.375,3.3125,0.9329938669194435,5.548121377109197,-0.8738770672485794,-1.571433773842954,0.20044141024185302,-0.04479004665629849,1.6637931034482762,-0.11622807017543846,0.0,-0.34965661391460134,0.0,0.0,1.5233333333333334,0.051724137931034475,0.04705882352941182
2005-06-30,0.10678178282401918,0.01555577663248453,-0.018461860468711677,-0.03906193941289571,-0.4687665487860262,0.03531916996047424,1.694369559466371,1.694369559466371,1.7000000000000002,1.594202898550725,-0.18216587205951695,-0.21739504411838495,0.7950114175303005,-0.5064826550915927,0.08240411547642834,-0.0517746662324976,1.2276159654800427,-0.46650124069478915,0.0,-0.6434037343128252,0.0,0.0,1.2457067371202113,-0.008196721311475419,0.05683520599250924
2005-09-30,0.0345703827498014,0.06176065598936775,0.00785588945754645,0.0450142810165155,-0.1922566508240232,0.015621674399160845,-0.7558650983545814,-0.7558650983545814,-0.7566137566137566,-0.7430167597765363,0.2930019218449711,0.7298409994321409,-0.7082297680790683,0.3923754591368227,0.10600243151399424,0.04258241758241743,0.02566585956416456,-0.19069767441860463,0.0,-0.5442060085836911,0.0,0.0,0.04411764705882337,-0.016528925619834767,0.01603614778063256
2005-12-31,-0.016328614986134027,-0.042608130928169397,-0.004995917480205336,-0.015164590335739914,0.10373356258159006,0.023293163632912117,-0.36501742760839584,-0.36501742760839584,-0.36956521739130443,-0.8260869565217391,-0.20321089826672534,0.5492898460560975,6.166856721223504,-5.089455189967334,-0.3919450639097225,-0.10869565217391308,-0.007082152974504208,0.1206896551724137,0.0,-0.1779661016949151,0.0,0.0,0.012957746478873267,-0.01680672268907568,-0.027816532961283613
2006-03-31,0.20572426422463064,0.5952950403517665,0.1628923571500891,0.10966056469763097,-0.20334885717450701,0.05138778047877812,0.11050706880301608,0.11050706880301608,0.13793103448275867,3.125,0.5672457748318016,-0.3270012525182794,-5.809829329814168,-4.185219716116547,2.053155185659827,0.05654101995565419,-0.17926771279125053,-0.20512820512820507,0.0,0.08476517754868262,0.0,0.0,-0.13959955506117905,-0.04273504273504258,0.4376177235626513
2006-06-30,0.01902017645867171,0.03649142754931112,-0.0009303831339563251,-0.004905591259128261,-0.25911758017488484,0.07380117796782648,0.1459658747564181,0.1459658747564181,0.15151515151515138,0.15151515151515138,-0.1734735819741985,0.3476246213688863,-1.006026476019607,-1.01277625183535,-0.008591645728409314,0.08604407135362013,-0.5382387022016223,-0.25806451612903236,0.0,0.23231256599788797,0.0,0.0,-0.5307045895281189,-0.017857142857142905,0.04161467431994015
2006-09-30,0.027125711823539067,0.05767701928857982,0.010436026535464604,0.051282882890472115,-0.2866356600059041,0.005155999803147182,-0.1727880838255944,-0.1727880838255944,-0.1842105263157895,-0.1842105263157895,0.07125823236881001,0.24777962416582833,-0.36406199547949625,5.7056346749226,-0.058111712759775114,0.0541062801932366,-0.15181932245922214,-0.28695652173913044,0.0,1.2433590402742074,0.0,0.0,-0.13774104683195587,-0.018181818181818188,0.006049715483677831
