Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
2000-09-30,-0.011875376755573153,-0.011460440952903772,-0.012323993346702644,0.00225345936464616,-0.14504723816147913,-0.176973940101128,-0.1636363636363637,-0.1636363636363637,0.21383987922215453,-411.7708333333333,0.8014058084585975,-2.0238738738738737,-0.31670614462867497,0.053333333333333455,-0.14834742505764797,-0.09591474245115461,-0.015945330296127436,0.07284768211920545,0.026182432432432456,0.04701397712833555,-0.004351373402230241,-0.11919418019026295,0.0
2000-12-31,-0.0024967698767458524,0.003500635715445899,-0.00898666070961629,0.010901666241295072,0.2408392935832684,0.3052500429627083,0.28260869565217384,0.3043478260869563,-0.0670329874324751,1.437490490439722,-0.4120803068851422,-24.633523977122746,10.954119086460032,0.005625879043600568,0.10469314079422376,0.08447937131630634,-0.012731481481481621,0.024691358024691246,0.17695473251028804,0.04490291262135915,-0.009287080032777784,0.04860228716645487,0.0769230769230771
2001-03-31,-0.023140422136462946,-0.032222672284291765,-0.013188531787463265,-0.057863858231744,-0.2890782931759821,-0.3483097988874626,-0.3389830508474576,-0.35,-0.0011938397867006234,-1.2406575114440284,1.0413462185250792,-1.975632457789609,-0.8940177063609847,0.11468531468531462,-0.049836601307189476,-0.04166666666666663,-0.01875732708089095,0.12650602409638556,0.04685314685314679,0.04413472706155641,0.0060656189688446105,-0.05422599212359902,0.0
2001-06-30,0.0006388710120706076,-0.10403250789298502,0.11312042923166832,0.07764946085624969,0.3410697817399324,0.44830546997323095,0.3846153846153846,0.3846153846153846,-0.10301207219411135,-0.32777105308663324,-0.6997649436523803,-1.1892386949055525,1.596330275229358,0.09473023839397743,-0.020636285468615623,0.011342155009451682,0.06212664277180413,0.11229946524064172,0.16566466265865043,0.04338153503893216,0.14853384488901056,-0.003523382447149226,0.0
2001-09-30,0.04214538960964176,0.10424122824763571,-0.011565948815844385,-0.0037063351095322217,-0.31022922636103156,-0.3775762859633828,-0.40740740740740744,-0.40740740740740744,0.24927265862704595,11.346237942122187,-2.2236043023340892,-1.6347045775357936,-0.3902423904283677,0.03667621776504304,-0.07638279192273922,-0.04672897196261683,-0.023622047244094557,-0.024038461538461675,0.04183381088825211,0.041577825159914594,-0.05464089716058218,-0.0585020893603343,0.0
2001-12-31,-0.0050574767209969895,-0.013655589023231496,0.003251027614421753,0.016294852443039298,0.5024716487350973,0.6777229941730165,0.6875,0.65625,-0.12229115926827971,-0.9705183765313776,-2.4342522274711476,-0.7731532962668785,-0.14518096787311918,0.025428413488115087,-0.03136882129277563,-0.005882352941176339,-0.016129032258064613,0.05418719211822687,0.10286028602860298,0.03991811668372569,0.009338717819283193,-0.011266643905769813,0.0
2002-03-31,0.036162265394238835,0.07414036637063082,8.18144192298309e-05,-0.055421714927258225,-0.15925239846277195,-0.19235907026449373,-0.20370370370370372,-0.20754716981132082,0.0482257149801506,37.54664310954064,-2.1578695017719407,0.2542016806722689,-0.21301141769743104,0.0398921832884096,0.014720314033366044,0.017751479289940697,-0.004683840749414414,0.05607476635513997,0.0807980049875312,0.03937007874015741,-0.03475868967241802,0.0379834254143645,0.0
2002-06-30,0.01748384026003258,0.015126827186315861,0.009214597706496352,0.10511458604167445,0.3270742214475977,0.41126364538537885,0.39534883720930236,0.40476190476190466,0.03586265530500654,-0.47429116209997524,-0.8912914318636012,-2.283640424343942,0.34743841620069515,0.07309486780715391,0.05319148936170204,0.019379844961240345,-0.007058823529411784,0.07964601769911517,0.055376095985232965,0.03882575757575757,-0.0056994818652850165,0.03925482368596156,0.0
2002-09-30,0.05461680956587145,0.09107246834658933,0.017856419100145793,0.0382370405225243,-0.07714037913517535,-0.09121007910928802,-0.11666666666666659,-0.10169491525423724,0.27887108507899794,1.7179500592871593,13.923484597548857,0.21705089169203995,0.31381785554060126,-0.018357487922705307,0.11386593204775042,0.07224334600760463,0.010663507109004655,-0.012295081967213073,-0.044599912549191045,0.037374658158614515,-0.02996352266805613,0.09635083226632535,0.0
2002-12-31,0.016764449423088523,0.04145959107434716,8.198103661505307e-05,0.04536429558011057,-0.21126684925621608,-0.2536673437147371,-0.26415094339622647,-0.26415094339622647,-0.27188261205676867,-0.5573911425620233,-0.8240888711324189,-2.1504646175839888,-0.27479938535086224,0.013287401574803237,-0.0651277823577906,-0.07446808510638292,-0.011723329425556872,0.0,-0.08970251716247146,0.03602811950790841,-0.01638463604619933,-0.08671532846715324,0.0
