,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover
71,0.01422046492603446,0.01977349943374862,0.005822914882685382,0.30989551321450515,0.2755775577557755,0.2755775577557755,0.2745591939546599,1.5661664392905865,-0.6508795669824087,-0.8242280285035629,1.1184210526315788,0.2749999999999999,-0.036337209302325535,0.0359848484848484,0.01754385964912264,0.0056253674232360495,0.01764705882352935,0.026675134963480396,-0.008289374529012905,-0.06499429874572404,0.0769230769230771
70,0.07580523740388245,0.14326011149856743,-0.027617912480844553,-0.1263138138138138,-1.8783958602846056,-1.8783958602846056,-1.8794466403162056,-0.10685805422647532,35.37596899224806,38.560810810810814,-2.0446075663466967,-0.2253075143100719,-0.020361990950226283,-0.44789762340036554,-0.47844827586206895,-0.02809016083729332,-0.023121387283236983,-0.05938756572842552,-0.09625126646403237,-0.4646341463414634,0.0
69,0.016856810826346047,0.018028869504400413,0.014743993836240143,0.027604726100966648,-1.1399116347569955,-1.1399116347569955,-1.142134831460674,0.3571428571428572,-0.8602024507192328,-1.141929974380871,-1.074054054054054,0.021537494104700627,0.09468822170900704,-0.5463576158940397,-0.5785123966942148,0.011169202283928481,0.12426035502958577,1.0026307135810586,-0.001961883408071685,-0.5193621867881548,-0.14285714285714302
68,0.011502162799842619,-0.00645025858285142,0.043968938740293284,-0.032612104107870854,8.642105263157895,8.642105263157895,8.454545454545455,0.5030701754385964,-0.44359756097560976,-0.21780986762936216,13.941605839416058,0.3150200061557402,0.011954992967651235,0.3795620437956204,0.3529411764705881,0.04388113349936673,0.0,1.2665024630541875,0.03201347935973042,0.3507109004739337,0.0
67,0.017451890368354483,0.009613353053032014,0.030943171675096748,0.06817936250675305,0.14082969432314418,0.14082969432314418,0.1387959866220736,-0.03151444412022175,-0.5328767123287671,3.3076923076923075,-0.9130434782608696,0.020830895260386173,0.007644197359277349,0.22751322751322745,0.21739130434782594,0.03453208341296987,-0.03157894736842093,-0.2727667898282983,0.01333333333333342,0.2701754385964912,-0.04166666666666663
66,0.0015045045582906535,-0.012870147535837595,0.003960237293570534,0.07596601254299018,0.09186602870813387,0.09186602870813387,0.09251101321585908,-0.22747815607110577,0.3489736070381231,-0.8610714285714286,8.634831460674157,0.19660667201650806,-0.06551724137931036,1.262931034482759,1.297619047619048,0.0039600835729058925,-0.09782608695652184,-0.2477585176329945,0.0024167561761547773,1.2458563535911598,0.04347826086956519
65,0.01070051088233015,0.0032956231811436254,0.022677547630835182,0.18219422769577887,0.03768624014022781,0.03768624014022781,0.03733870967741937,-0.2617004680187207,-1.3304347826086955,-1.6812339331619537,0.346938775510204,0.2213067637478443,0.05387453874538739,0.3085714285714285,0.3264248704663213,0.018242837084787578,0.048192771084337505,-0.5468149913918687,0.011786766675595972,0.24477244772447726,0.04166666666666674
64,0.00042466852262545984,-0.01233239847862,0.02062869903337128,-0.091610337972167,0.4611486486486487,0.4611486486486487,0.46026069605327957,0.3951399894347596,32.921052631578945,-4.973584905660378,1.9194805194805196,0.5290241606526513,-0.064390756302521,0.16739446870451236,0.1796875,0.02077232842545662,-0.08045977011494243,-0.3015780245470485,0.02012178978024881,0.1324110671936758,0.040000000000000036
63,0.019538251108385918,-0.019536720087132364,0.08028091434866425,0.2602643788847063,0.28843930635838144,0.28843930635838144,0.2883762200532387,-0.6319575918212799,0.5801008533747092,-0.8414055080721747,0.3274021352313168,0.4592653396265134,0.04640544889787068,0.19326683291770586,0.2251655629139071,0.07978206077671612,0.02499999999999991,-0.12008368200836805,0.0596937451336621,0.11867364746945919,0.1153846153846152
62,-0.00399583646562196,-0.012566577070708074,0.019304581828482492,0.2664629063628785,-0.18977119784656793,-0.18977119784656793,-0.1900826446280992,1.4763374485596708,-0.8182152939732417,8.502994011976048,-0.7429624664879357,0.0808957952468008,0.05361038589463907,0.06792058516196464,0.09729729729729719,0.01892367597113709,-0.024390243902438935,-0.14455539705183085,0.023267205486162235,-0.04290171606864279,0.13793103448275867
61,0.04830497158018798,0.026738719916428844,0.07820142285460197,0.08644142167617375,0.32115171650055374,0.32115171650055374,0.3212925170068026,-0.07062733693394263,-0.10263335584064825,-2.0371770636420923,1.265102129508909,0.16952349975605796,0.08520027155465026,0.11741682974559686,0.15517241379310343,0.07723920095612091,0.06874999999999987,-0.01834352418009999,0.028721876495931165,0.039934800325998276,0.1212121212121211
60,0.1683383270842218,0.27569508305777846,0.027424094025465307,-0.1324717285945073,-0.3503772003352892,-0.3503772003352892,-0.35128455954281,0.08180599016540002,0.929270127915726,-1.0182260024301337,-0.04950115118956255,0.13777567650248912,0.12417891773537693,-0.0691768826619964,-0.07675906183368864,0.027248275982305836,0.040935672514619936,-0.04190260475651175,-0.12075383899488135,-0.10266457680250773,0.027027027027026973
59,-0.03568550489680211,-0.0632826938856893,0.008955897847574112,0.04725325884543752,-0.17290322580645157,-0.17290322580645157,-0.17261904761904767,-0.9413223140495868,-1.0070202808112325,26.8,-1.1433185304804199,-0.017354745667424454,0.005843071786310494,-0.14675446848541862,-0.15473441108545027,0.008747845728718229,-0.022471910112359605,0.02895981087470445,0.046308547234718,-0.16244541484716157,0.0
58,-0.10601398051379862,-0.17758929814076485,0.0029712325020512242,0.06534785507890639,-0.11310452418096728,-0.11310452418096728,-0.11390887290167862,20.02112676056338,50.111111111111114,-1.9004796163069544,-4.966197183098592,0.07004800875600115,-0.036514522821576745,-0.12017640573318644,-0.10655737704918034,0.002874729036331125,-0.04597701149425293,0.09419873635841469,0.12190187152250886,-0.10636079249217933,0.0
57,0.038568129330254,0.017530237419740136,0.0647396407898162,0.04475276444815357,1.9366754617414248,1.9366754617414248,1.9385926928281458,-0.3775544388609715,0.5271739130434783,-1.0572569906790945,-0.8544034090909091,0.009531115605458274,-0.02009761699684176,0.12155388471177941,0.1376146788990824,0.0639082464356675,-0.01807228915662651,0.08346456692913384,0.02524797114517585,0.14585764294049008,0.0
56,0.011653271493164752,0.01602488847147221,0.006472642607683321,-0.11962056914628061,-0.5917939502845163,-0.5917939502845163,-0.5920096517806983,-0.25995694294940797,0.19003558718861213,-84.23255813953489,7.004878048780487,0.07557510304649173,0.03428069147377677,-0.045810055865921684,0.0,0.006215025474544333,-0.030674846625766805,-0.10029069767441856,-0.005057167985927813,-0.03054989816700604,0.026315789473684292
55,0.019678136857254946,0.020384385772334257,0.018853520866105367,0.028014063740501305,0.06309611151870875,0.06309611151870875,0.06207674943566599,0.2734545454545454,0.21351674641148333,-0.6281084101704386,-0.6791590493601463,0.022543835235179444,-0.031728045325779,0.0011709601873537423,0.034946236559139754,0.01871921498078577,-0.03797468354430378,-0.00646203554119551,-0.0008839779005525017,0.021008403361344463,0.025641025641025772
54,0.009623527600277182,0.003963348463258853,0.0162568399064551,0.13266769638128872,-0.5955831608005522,-0.5955831608005522,-0.5951115834218916,0.4723015419760137,1.3277476589452935,-0.6882043576258452,-2.6429249762583096,-0.03622126376617396,-0.03891164423639559,-0.09941520467836262,-0.09350649350649354,0.015986279444269114,-0.052631578947368474,-0.0607046070460705,0.006635700066357053,-0.09156378600823034,0.0
53,0.008210055411519424,-0.003440140613397702,0.021962063495609918,0.2354746018604199,7.7542662116040955,7.7542662116040955,7.73748031496063,0.45151280062063615,0.14694050391700197,-0.26987951807228916,-0.20693641618497105,-0.02980535279805352,0.055098934550989354,0.24545454545454537,0.25214899713467065,0.021513727742498823,0.03472222222222232,0.14137334102712074,0.013623379477037956,0.18233295583238962,0.04999999999999982
52,0.1607512920710954,0.2555340721527941,0.04224782475624145,-0.10268842636392306,-0.5491228070175438,-0.5491228070175438,-0.5491111391477269,-0.3695884553714591,0.1330995015691343,4.343234323432343,0.5743440233236152,-0.04034930586654728,0.020196191575302835,0.08446298227320126,0.05720823798626995,0.04193278942919032,0.0,-0.19261880687563193,-0.102102753089096,0.04597701149425282,0.0
51,0.009230862792455552,-0.0019005694196126965,0.023744349704768686,0.06246979747836412,0.014699524427150834,0.014699524427150834,0.013990672884743427,-0.5370919881305638,-0.6977842945584881,-1.016059295861643,-0.6347222222222222,-0.01840963180736388,0.009615384615384581,0.06730769230769229,0.04761904761904767,0.023285028902799265,-0.033557046979865834,-0.09142141515341273,0.014244326412361064,0.023809523809523725,0.023809523809523725
50,0.03301754823936531,0.020750385729876086,0.04744245131283753,0.04858383295431046,0.18108223263740952,0.18108223263740952,0.18068331143232585,3.0576923076923075,1.0318059299191376,17.53846153846154,-1.2281368821292775,0.0042786850174711955,0.04481792717086841,0.17027027027027009,0.15289256198347112,0.047206729284377635,0.02083333333333326,-0.045485871812543044,0.014044275172578002,0.15026833631484782,0.0
49,0.03514554045382945,0.015734910265296165,0.06039474198974992,0.034345425867507995,0.2925685425685425,0.2925685425685425,0.2930272676683363,-0.47799593771157756,-0.3857787211461926,-4.1037344398340245,7.300000000000001,0.035361783710857075,0.1243967828418231,-0.159353348729792,-0.17025089605734767,0.06011847462896913,0.0748299319727892,-0.07075812274368232,0.024413145539906145,-0.13063763608087087,-0.04651162790697683
48,0.05329721418307254,0.08470048491535764,0.013576956068585666,0.25492737600548976,-0.27574658107730954,-0.27574658107730954,-0.2761139109215561,0.9995676610462603,0.18704103671706274,-0.7279411764705883,0.5287817938420347,0.05221406853668009,0.022889842632331847,-0.010073260073260148,-0.006479481641468721,0.013425835800862762,-0.03164556962025322,0.16627816627816627,-0.03780934922089829,-0.07066189624329156,0.07317073170731714
47,0.028175849708420353,0.012862726201948727,0.04896670336970277,-0.16923871438118965,0.20154142581888257,0.20154142581888257,0.1997621878715814,-0.3930810810810811,-0.005822416302765698,1.0835380835380835,-0.5958844133099825,0.020053446889868987,0.014871794871794908,0.024976873265494914,0.0304347826086957,0.046072669711760605,0.0,-0.009993337774816813,0.020242914979757165,0.038498556304138454,0.0
46,0.027745669036725484,0.017872953365136945,0.0401745436879728,0.09470874318938094,0.4602309172546504,0.4602309172546504,0.45787908820614476,0.39615247595297465,0.8005124450951684,0.3360849056603774,-0.8559046587215602,0.002832800851970241,0.05379208966879512,0.10288808664259941,0.10759493670886067,0.04002265316693987,0.006535947712418277,-0.012786002691789977,0.012138188608776801,0.10194624652455997,0.0
