,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
10,2001-08-31,0.043012333198594765,,0.02529054818077836,,0.07633646598675692,0.1337338029353239,0.09988041976784934,0.09988041976784934,0.0903225806451613,0.09285714285714296,-1.600988216756868,-3.8150952053223217,-1.0987287981694691,-1.034581510313086,-0.02238158281847602,0.054711246200608084,0.06286836935167006,0.11350059737156525,0.07397003745318352,-0.025000000000000026,-0.1220657276995306,0.0,0.03197004608294929,0.10350877192982444,0.006802721088435382,
11,2001-11-30,0.12990613327325606,,0.1410185929362977,,0.11000121084083858,0.2398981255403683,0.5265757533155255,0.5265757533155255,0.5266272189349113,0.5163398692810457,2.9254071614824526,-2.2462920707358816,-11.1084501342751,-101.46664475846205,2.3000820060639344,-0.09942363112391928,0.061737523105360514,0.08154506437768227,0.105492589363557,-0.1641025641025642,-0.20855614973262027,0.16666666666666674,-0.01758303097962588,0.10174880763116056,-0.020270270270270285,
12,2002-02-28,-0.07094755543941089,,-0.13613737265822726,,0.04908507517197402,-0.3621260284505173,-0.5586205626296983,-0.5586205626296983,-0.5581395348837211,-0.5560344827586207,-0.6398730983814236,-1.4606770961044906,-2.4027396662032623,-1.5142156221379042,-0.35839657849201045,-0.5530666666666666,-0.02820334261838442,0.007936507936507908,0.046529968454258615,-0.5950920245398772,-0.6148648648648649,0.1428571428571428,0.12897727272727244,0.024531024531024404,-0.013793103448275891,
13,2002-05-31,0.04026097107523397,,0.02040510116162131,,0.07036623624768558,0.2595668662802626,0.474551751957825,0.474551751957825,0.456140350877193,0.4660194174757282,-1.69372347824334,-0.8445051630531208,-1.087219348176898,-0.8740855946974034,-0.07033517984870186,-0.007159904534606244,-0.05087782156932996,-0.011811023622047223,0.06480783722682748,-0.045454545454545525,-0.05263157894736836,0.0,0.02893809763462518,-0.00845070422535199,0.0,
14,2002-08-31,0.14326458588017887,,0.19161886542477505,,0.07337239171014942,0.18400539062634214,0.34160008301338585,0.34160008301338585,0.33734939759036164,0.33112582781456945,1.9449618597893208,92.31652213601095,5.268457374025821,9.125716739498346,-0.766076216430047,0.3677884615384617,0.004152510381275842,0.019920318725099584,0.07006369426751591,0.2857142857142858,0.34444444444444433,0.125,-0.06113964294448515,0.03409090909090917,-0.013986013986013957,
15,2002-11-30,0.1049305582885154,,0.09888368985623576,,0.1146336743668812,0.4185477989878563,0.5821514706192563,0.5821514706192563,0.5855855855855854,0.5721393034825872,-2.8593644387651898,-1.1853670585185605,-0.04103771122700284,-2.633342230714925,5.349027008479976,0.2803163444639718,0.046616541353383216,0.0703125,0.11309523809523815,0.18518518518518512,0.1900826446280992,0.0,0.00885647303985393,0.02335164835164827,0.042553191489361764,
16,2003-02-28,-0.028460292725404845,,-0.07612103414286675,,0.046937923170059286,-0.3874652509169818,-0.5275007555152614,-0.5275007555152614,-0.5710227272727273,-0.5664556962025316,-1.0524903879066732,-1.1671526009577962,-1.953870895910137,-1.3439694052566389,-0.2897926936444151,-0.008922443376801703,-0.011853448275861987,0.0018248175182480344,0.04575163398692839,-0.10416666666666664,-0.1157407407407408,0.11111111111111116,0.07771753162922801,0.012080536912751684,-0.006802721088435382,
17,2003-05-31,0.06209688928088975,,0.05508838604349786,,0.07188096267486044,0.3118976788486396,0.5078820143343554,0.5078820143343554,0.4966887417218542,0.4963503649635035,4.502780305328076,4.857142857142857,-1.8817096641990425,-0.9418111582265836,-0.023743350774716232,0.2783933518005541,0.016721192293711384,0.02641165755919861,-0.05340909090909096,0.2209302325581397,0.2251308900523561,25.8,0.009103977000479269,0.019893899204244114,0.0,
18,2003-08-31,0.04764557898967525,,-0.0606525000458179,,0.19646426367075695,0.06914775255896742,0.2573807815862521,0.2573807815862521,0.1902654867256639,0.18536585365853675,-2.096871095759536,-0.9472577819700848,-0.9608086561034591,-10.320717283479588,0.2266873778624041,-0.22751895991332616,-0.014301036825169809,0.047027506654835786,0.11764705882352945,-0.18095238095238095,-0.27564102564102555,0.0037313432835819342,0.14197530864197527,0.042912873862158696,0.006849315068493178,
19,2003-11-30,0.08894217981234752,,0.08752957163823227,,0.09046617984315453,0.27951550416651605,0.4048279317580874,0.4048279317580874,-0.34572490706319703,-0.3827160493827161,3.941633654659508,6.001277465508431,6.093829755291997,3.9930002947244327,0.9226883433410944,0.032258064516129004,-0.01704751541530647,0.038135593220339103,0.10526315789473673,-0.08139534883720922,-0.017699115044247815,0.08550185873605942,0.0014553014553013721,0.05236907730673335,-0.013605442176870763,
20,2004-02-29,-0.03749694484425492,,-0.07653763549867333,,0.004508890627843654,-0.3580032525323608,-0.5082579692846625,-0.5082579692846625,-0.4886363636363637,-0.4400000000000001,-0.942949243774956,8.864102470532423,-9.823224413781427,-2.0716102215991543,-0.5142602874246973,2.113451086956521,-0.03837638376383768,0.005714285714285783,0.0009718172983481654,1.8227848101265824,2.1711711711711708,0.04109589041095885,0.04359559892048992,0.015402843601895588,-0.006896551724137946,
21,2004-05-31,0.07279278875893325,,0.08425309076735399,,0.06145695121839623,0.25765000614630784,0.4463777899060695,0.4463777899060695,0.4444444444444444,0.4523809523809523,-10.881557839700553,-0.6519500122083861,-1.0806759171533766,-0.3985577430652779,-0.6367563942440868,0.05214924721797942,-0.02647735993860334,0.010551948051948036,0.06165048543689311,0.049327354260089606,0.016098484848484862,0.042763157894736725,-0.010543067435846432,0.02683780630105015,-0.02083333333333337,
22,2004-08-31,0.12042996059366362,,0.18033666210954324,,0.05990127518120825,0.17306653975760655,0.11822095118935905,0.11822095118935905,0.11538461538461542,0.11475409836065588,-0.8933900124160862,0.23307823129251706,11.199197264753975,-1.6585207007260645,1.1543693000646642,-0.11717129821650762,-0.02364998029168297,-0.030522088353413638,0.05944215820759036,-0.16666666666666666,-0.15284249767008395,0.03785488958990535,-0.05408122235625257,-0.0215909090909091,-0.007092198581560294,
