Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
2003-06-30,0.05256241787122207,0.11356085774690428,-0.10075250836120397,-0.22622733303847853,-0.48694372931224716,0.12401150251617543,0.09793253536452662,0.09793253536452662,0.09677419354838723,0.08196721311475419,0.3307392996108949,0.4838709677419355,0.30584192439862545,0.3072625698324023,0.40484429065743943,0.12376681614349772,0.04897180411278357,-0.48913043478260876,0.6452575064625172,0.0385720147722608,0.09999999999999987,-0.3425238600212088,0.032280458174245075,0.012195121951219523,0.4390876809614861
2003-09-30,0.0916909418782077,0.18822891239490103,0.019525801952580135,0.028865390111460387,-0.353405017921147,-0.02462424048608891,-0.15163528245787905,-0.15163528245787905,-0.16176470588235303,-0.1515151515151515,0.4844054580896686,-0.15217391304347827,-0.34078947368421053,3.217948717948718,1.2155172413793105,0.0638467677573824,-0.0030315278900565623,-0.36170212765957444,0.6452575064625172,-0.020150138285262686,0.09090909090909083,-0.3425238600212088,0.0026899798251514007,-0.0060240963855421326,0.1548827939641264
2003-12-31,0.1961880559085134,0.2987902305409724,0.10978112175102606,0.20027777777777778,-0.6441241685144123,0.1498360655737705,-0.001168224299065379,-0.001168224299065379,0.0,0.0,-0.10439921208141822,0.41025641025641035,-0.1337325349301397,-0.09625126646403237,0.49583101723179546,0.0851462865716428,-0.05858503952969807,-0.6333333333333333,0.6452575064625172,0.023387096774193372,0.08333333333333348,-0.3425238600212088,-0.021126760563380365,-0.036363636363636265,0.08209384501602424
2004-03-31,0.12226471213086887,0.195079086115993,-0.017051874678993273,-0.04883128905345979,-4.102803738317757,-0.055603079555175405,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.2142857142857142,-0.21994134897360706,0.709090909090909,-1.0161290322580645,0.10986547085201792,0.36789297658862874,0.12927756653992395,-0.07751937984496116,-4.0,0.6452575064625172,0.07722616233254542,0.15384615384615374,-0.3425238600212088,-0.010277492291880796,-0.06918238993710701,0.2564550425273391
2004-06-30,-0.05224798864174163,-0.0372058823529412,-0.018497230640610263,0.04598540145985397,-0.37650602409638556,0.07971014492753614,0.0,0.0,0.01449275362318847,0.0,0.15695488721804507,-0.45744680851063835,-219.14285714285714,-1.3616161616161615,-0.09725618038576478,0.01591674318947045,-0.06746031746031744,-0.36363636363636365,0.6452575064625172,-0.013167520117044584,0.13333333333333353,-0.3425238600212088,-0.026652821045344388,-0.04054054054054057,-0.07954064672106387
2004-09-30,0.1325277139718366,0.20589583015121438,0.050362010221465026,0.09467317980925793,1.3752012882447664,0.0008389261744965459,-0.07729468599033817,-0.07729468599033817,-0.07142857142857129,-0.07352941176470595,0.2087733549959383,-0.3137254901960784,-0.8244924688932548,-4.315642458100559,0.35720734276256394,0.04700210906899671,-0.06007509386733423,1.380952380952381,0.6452575064625172,0.03854707190511486,0.08823529411764697,1.0983870967741933,-0.012446657183499354,-0.04929577464788726,0.10158250705890093
2004-12-31,0.21340388007054667,0.2952501583280558,0.07298530157121141,0.7790055248618784,1.152542372881356,0.09416037999441174,0.28376963350785345,0.28376963350785345,0.2615384615384615,0.26984126984127,-0.04973118279569888,0.9428571428571428,-1.6156716417910446,0.3066554338668914,0.3439024390243903,0.14474820143884903,-0.00852197070572569,1.12,-0.5192168237853516,0.1134903640256959,0.10810810810810811,0.7732513451191392,0.06445804825351087,-0.06666666666666676,-0.27187649022412963
2005-03-31,0.1329941860465116,0.17866223352239397,0.0053849787435049645,-0.002269469660774015,0.5584251968503937,-0.002808988764044895,-0.03181076672104399,-0.03181076672104399,-0.03658536585365846,-0.025000000000000022,0.10678925035360676,-0.19117647058823528,0.2969696969696969,0.10186976144422943,0.2819666721663092,0.06611362493715434,-0.06688154713940375,0.5566037735849054,-0.49710910005027653,-0.02564102564102566,0.09756097560975618,0.3758127438231471,-0.005412719891745521,-0.0634920634920636,0.18133442488743357
2005-06-30,0.1060295060936498,0.13722724632871475,0.016914113888366833,0.00945767987549373,0.297696038803557,0.1441741357234314,0.22493681550126365,0.22493681550126365,-0.39240506329113933,-0.39743589743589747,0.2083067092651758,1.5454545454545454,-1.7710280373831777,-0.10005851375073138,0.19794079794079789,0.020985616599858536,-0.041738629821531426,0.290909090909091,-0.34416395901024743,-0.014144736842105265,0.1333333333333333,0.17328292375551357,0.03367346938775517,-0.06779661016949146,0.12654192654192653
2005-09-30,-0.0981267760830482,-0.12599401765521268,-0.022823877287007965,-0.40014231499051234,-0.2250428282199034,-0.05752014324082366,0.008253094910591452,0.008253094910591452,0.02083333333333326,0.02127659574468077,0.06134320465362242,4.685714285714286,18.024242424242424,-2.2620286085825745,-0.20853029651912336,0.10785219399538115,0.031240612796635592,-0.21126760563380276,-0.1417682926829268,0.016349683016349648,0.0980392156862746,-0.1407089151450054,0.0635077328068443,-0.036363636363636376,0.45700049212598426
