Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,Equity to assets ratio,Asset turnover,Current ratio
2004-12-31,-0.029030796084953958,-0.05032183125734502,-0.1511445934817902,-0.1511445934817902,-0.011923761717708814,1.4386322626964323,-0.3966935713147036,-0.3966935713147036,-0.4,-0.4,-0.7628244846795782,-1.0276454724211788,4.406988823077,-0.9743419290186235,0.0029435969935698303,0.14662494412159144,-0.1805869074492099,-0.180025445292621,-0.016008262328943923,0.19064748201438864,0.01767187321856123,0.2777777777777779,0.11877375962569459
2005-03-31,0.33191124409832473,0.574996889229058,0.2020323274318483,0.2020323274318483,0.34754242942981084,-0.44709969182908305,2.314601428495469,2.314601428495469,2.0000000000000004,2.0000000000000004,1.930603164814623,173.65213437129995,40.6808785374581,155.72779066769786,0.4599894299153069,-0.037816764132553526,0.15426997245179064,0.15981380915438326,0.1558646024665442,-0.02114803625377637,0.011763387855702412,-0.0434782608695653,0.31028098453495967
2005-06-30,-0.028746785257322327,0.029871088506305155,-0.0014824050803805555,-0.0014824050803805555,-0.03167378431802903,-0.050689226055642966,-0.30954150145354886,-0.30954150145354886,-0.37037037037037035,-0.37037037037037035,1.6467970466207316,-1.438610592731613,-0.9859128409358214,-0.37590704849155465,0.19662893107053803,-0.2560777957860616,-0.022076372315035897,-0.019397993311036643,-0.03723041997729859,-0.3580246913580247,-0.003100431845864282,-0.045454545454545525,0.031402210955032706
2005-09-30,-0.05540842875411234,-0.07569741318142897,-0.1257938747706122,-0.1257938747706122,-0.047616520086901426,-0.10823332582343048,0.1987003133493046,0.1987003133493046,0.23529411764705865,0.23529411764705865,-0.04304848369754166,-0.7003269480145414,-0.9376390195406024,-1.2780260690456768,-0.045684979985639806,0.12690631808278874,0.0780964002440514,0.08663028649386084,-0.04833765621315722,0.1730769230769229,0.00833055648117309,-0.023809523809523836,0.05729804654761139
2005-12-31,-0.03557193098306155,-0.01375501245081856,0.14104399665008094,0.14104399665008094,-0.0535189715559794,0.24035027901744677,0.10255141633974696,0.10255141633974696,0.09523809523809534,0.09523809523809534,-0.47304661658234637,-3.5078895384879116,6.250258557626819,5.1738624707785,-0.2955552176129054,-0.14161430642822626,0.1743067345783813,0.17325800376647837,-0.0542616451932606,-0.0983606557377048,-0.01861643533818025,-0.19512195121951215,-0.13565755575542304
2006-03-31,-0.050777057226473854,-0.02779641414025491,0.19712308573846782,0.19712308573846782,-0.08114603909511708,0.05906351673691934,0.4797745386121346,0.4797745386121346,0.4347826086956521,0.4347826086956521,0.15110521531560162,-1.7423811777684786,0.3634690455149572,-1.3167591457052716,0.13289873185313072,0.115427927927928,0.16337349397590373,0.1508828250401284,-0.08671731726486775,0.17727272727272703,-0.03199012234818721,0.06060606060606055,-0.18788359788359787
2006-06-30,-0.01904716565677278,-0.0523151477923941,0.1559578757223743,0.1559578757223743,-0.04697879876816291,-0.017349707278303872,-0.3902832642312255,-0.3902832642312255,-0.3939393939393939,-0.3939393939393939,1.0974381444898493,-2.9735783939922524,0.2520547805384661,-6.3557145734450415,-0.6282712258084253,-0.002019182231196348,0.09776304888152443,0.07903300790330081,-0.05192197360872064,0.09652509652509655,-0.028525046382189334,0.08571428571428585,-0.18018546267943625
2006-09-30,-0.04361019076802908,-0.08515614315971376,-0.016940670592384244,-0.016940670592384244,-0.04877317046744356,-0.3164851286747391,0.03761569219584482,0.03761569219584482,0.04999999999999982,0.04999999999999982,-0.0265911139079128,-1.4838706265026778,-0.12397767130183479,-0.9969802291628096,-0.00510381562381923,-0.1340414769853313,0.06905660377358491,0.046100818612666794,-0.05416036308623284,-0.0880281690140845,-0.005371210312723695,0.026315789473684292,-0.06937748344370853
2006-12-31,-0.05709030531393933,-0.13102227726812277,0.05738363104916955,0.05738363104916955,-0.07999304675469021,-0.015465284539736168,0.36837997400073474,0.36837997400073474,0.38095238095238093,0.38095238095238093,-0.8342703927526094,-0.8748084966122189,-0.5066688070128909,1.3904357990648601,-0.012262931319466208,0.17757009345794406,0.13836921990822448,0.11202635914332792,-0.116122840690979,0.24324324324324342,-0.024360974438977667,-0.05128205128205132,-0.17819020238535765
2007-03-31,0.12165471122493665,-0.023223996298852745,0.3958734706408851,0.23708740901562209,0.05859971729226343,1.0192329401632811,0.19724921668596385,0.19724921668596385,0.1724137931034484,0.1724137931034484,3.7617076045768663,6.509867662500196,10.276413332578802,-20.289902137183482,0.23948756462435927,0.21031746031746046,0.044651162790697585,0.014074074074073906,0.03112558812884547,0.37267080745341596,-0.05621156211562106,0.10810810810810811,-0.21041875930864895
2007-06-30,0.022551743670456093,-0.01804638170188244,0.033197929826404016,0.043867520925414905,0.01932376495815924,0.03581817217730254,-0.15541626831181865,-0.15541626831181865,-0.20588235294117652,-0.20588235294117652,0.37207303399981706,-0.7767088554763718,1.4970872194802078,-1.2544758334083543,-0.04915698868985363,0.4172131147540985,0.10092015434847146,0.07487216946676423,-0.10845910845910844,0.3733031674208145,-0.0031278509057733883,0.09756097560975618,-0.05930865064046309
2007-09-30,0.7149387092010042,1.519631580669437,0.14283021831317733,0.12404841255920007,0.8907660375536999,0.09378319591279283,-0.3087123174142754,-0.3087123174142754,-0.37037037037037035,-0.37037037037037035,-0.6131413359148112,-14.993991989319092,15.07620164126612,-92.95019157088123,4.7547880068683135,0.29670329670329654,-0.19061741709355617,-0.17974855589534489,0.8751968503937011,0.4546952224052718,0.10249705843901169,0.0,1.2415594105577314
2007-12-31,0.005976653160349121,-0.00643443820407108,0.027101313836512597,0.04163415623732103,0.0020525388680401324,0.5087638163067105,0.09530945601678398,0.09530945601678398,0.0588235294117645,0.0588235294117645,0.8892711917422584,-0.24195010256165628,-0.9414736798241502,-1.2195647040848925,-0.1814113083693868,0.18242640499553975,-0.21785476349100608,-0.20795360397680196,-0.007138358177619208,-0.3691959229898074,-0.0037946163879996053,0.1333333333333333,-0.046142964134143316
2008-03-31,0.11817656500802576,0.13262625470514422,0.41249197174052665,0.46771535580524337,0.06213791100444821,0.17643452672878857,-0.7520864687371733,-0.7520864687371733,-0.7222222222222222,-0.7222222222222222,-0.9466887417218544,-0.678811906110377,-0.8483446066215735,-0.7787828947368421,-0.04902496810643342,-0.1548472274613354,-0.3841567291311755,-0.38284518828451886,0.04948192006766772,-0.14901256732495516,-0.05011308177597906,0.019607843137254832,-0.228309705561614
2008-06-30,0.05310947273325839,0.0501272220587472,0.040525179038308545,0.027498213738899713,0.05629593383608689,0.037441375716519065,2.368101545253863,2.368101545253863,1.9999999999999996,1.9999999999999996,-10.885093167701863,1.4324059561128526,11.80868544600939,-1.496425507577924,0.02559188607482965,0.5746485159562598,-0.26210235131396953,-0.259322033898305,0.03002216401370128,0.5,0.003007518796992459,0.019230769230769162,0.022016844723305562
2008-09-30,0.0039002864329644726,-0.00969742921975525,-0.08745288687387343,-0.09806882301517916,0.02668640746274753,0.014014114574176784,-0.33344256922824844,-0.33344256922824844,-0.33333333333333326,-0.33333333333333326,-0.8941250392711279,0.07426500201369302,-0.9006689269678365,-8.935483870967742,-0.19801638637343688,-0.20719954648526084,-0.14995313964386126,-0.15560640732265452,0.021909233176838905,-0.23066104078762317,0.02261369315342332,0.09433962264150941,0.0979784851082659
2008-12-31,0.03708799663988471,0.051414209784622855,0.29177141945009777,0.3220327782183452,-0.01937512994165347,0.023752321981424185,0.9105211406096363,0.9105211406096363,0.7999999999999998,0.7999999999999998,-13.943620178041543,-1.3065157081802505,-0.7850553505535055,-0.9850464576074333,-0.003692153278130217,-0.42116553450125127,-0.005512679162072764,-0.0257452574525745,-0.019716692189892804,-0.43327239488117,-0.054367745876603535,0.0,-0.20468970380818052
2009-03-31,0.07919029131637023,0.12135043718240301,0.3476004386710121,0.35497792218612023,0.0008029483541813764,0.48132288188900185,-1.16829644879053,-1.16829644879053,-1.2222222222222223,-1.2222222222222223,-0.6368638239339752,3.445694716242661,0.0,-74.23300970873787,0.27138950852702015,-0.0352069178505251,-0.1707317073170731,-0.19332406119610568,-0.0019527436047647173,-0.016129032258064613,-0.07260981912144704,0.10344827586206917,-0.17243563353073443
2009-06-30,0.014846039869818028,-0.01719480861716849,-0.1055762507880108,-0.14175039043765914,0.06220110790089284,0.19224550458116263,0.3700305810397553,0.3700305810397553,0.0,0.0,7.924242424242424,-0.5756575327390778,5.412017167381975,-1.257921251491449,-0.05505560743696414,0.5121638924455827,-0.48395721925133695,-0.4913793103448276,0.04558794756407747,0.5147540983606558,0.04653106714962374,0.140625,0.14514771161793982
2009-09-30,0.09566298474632995,0.037878497692145574,0.10656893149140112,0.09003897294818897,0.09205171835814996,0.02290410958904099,1.421875,1.421875,1.5,1.5,-3.534168081494058,-3.5438278008298756,0.7228915662650603,-6.132099717296325,0.29901322192773616,0.2466130397967825,-0.9637305699481865,-0.9627118644067797,0.08832335329341312,0.1926406926406925,-0.0031948881789136685,0.09589041095890427,-0.0478529657477027
2009-12-31,0.06169552871075101,0.04241498779773312,0.13268094962362476,0.11572637888427373,0.03787778701710476,0.0801773087636597,0.19331797235023052,0.19331797235023052,0.19999999999999996,0.09999999999999987,-1.637132568461603,0.24263431542461,-0.23076923076923073,-3.3220491762231457,-0.5345006455182589,0.2255051791475633,-37.714285714285715,-35.45454545454545,0.025447042640990514,0.12522686025408358,-0.022435897435897467,0.08749999999999991,-0.06570034745376052
2010-03-31,0.09666793638962035,0.1639117177162026,0.21892093612931585,0.2286639962299717,0.05190152076734722,0.08635118213714521,-0.046727167406835246,-0.046727167406835246,-0.08333333333333326,0.0,-2.832150368033649,-0.8477315612437444,5.542929292929293,-2.0181586836032697,1.1690810489562438,-0.04281557433836791,0.21400778210116722,0.2058047493403692,0.05030181086519114,-0.06612903225806455,-0.04084699453551921,0.02298850574712641,-0.052702753465309504
2010-06-30,0.024611178857725458,0.005011521175388056,0.04067304708142161,0.03313868193193903,0.01779581086612203,0.10938783894823345,0.8574032813449464,0.8574032813449464,0.8181818181818183,0.8181818181818183,-1.4419016189587968,-0.9889547413793104,-0.9566962562717097,-1.4818792230624218,-0.25972098545562483,-0.15228720324261713,0.3878205128205128,0.3610503282275712,0.0020753512132822838,-0.1934369602763385,-0.0066942031049707085,0.011235955056179803,-0.02724244587199609
2010-09-30,0.1337550880051117,0.10061593873906594,0.14023761163233073,0.13867928906213756,0.13094259787036866,0.008888065919822274,-0.14514721919302076,-0.14514721919302076,-0.15000000000000002,-0.15000000000000002,-1.89837112397857,907.6341463414634,0.8057040998217468,-0.4624615384615385,-0.1885910801307754,0.0022199453551912107,0.08198614318706698,0.06430868167202575,0.11884658276246607,0.0021413276231263545,-0.0024376254660166685,-0.011111111111111072,-0.03342709225062157
2010-12-31,0.2327906091288663,0.37716650739414104,-0.2155485024776096,-0.1256693863245495,0.4289044865650413,-0.6780969277986806,-3.3163668835310625,-3.3163668835310625,-3.235294117647059,-3.235294117647059,-1.8531413770254805,-0.26246845976271005,157.9496544916091,-10.518848638482297,2.2124109094364726,0.12949395126938157,-0.880469583778015,-0.8761329305135952,0.2936067207745976,0.008547008547008517,0.15912031047865471,-0.2359550561797752,0.5751339040951455
2011-03-31,-0.2301307285341374,-0.20173678193626976,0.336835655198515,0.35341990696286896,-0.3662820640436941,0.8926512511878366,9.195781473730587,9.195781473730587,8.789473684210527,8.789473684210527,-0.5212878627409447,0.4580724996360459,-0.9970934565509018,-1.3886225795921172,-0.26764721543476844,-0.21375773118117358,-49.75892857142858,-49.097560975609746,-0.3663181067694,-0.39194915254237284,-0.17683531746031755,-0.10294117647058831,-0.4101959944307594
