Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
2004-03-31,0.07612929130696644,0.3432277904931911,0.3561244126617278,-0.16028427516732213,-0.3121741662315439,0.08607895943158383,0.04950037544042041,0.04950037544042041,-0.2592592592592593,-0.2784810126582279,-0.6473820973089215,-0.31849920080760497,157.72488408037094,3.7839575558652943,0.4199988947397506,0.15772107347118358,0.14932562620423884,0.04076738609112707,-0.3122641509433962,0.012244897959183598,0.08272969881814718,-0.3610081541882877,0.0016353229762877675,0.02941176470588225,0.5996174879717899
2004-06-30,0.041105635280308306,-0.0285392859257505,0.030769138819302544,0.3405564033337247,0.04586925983909329,0.04568896157853786,0.04127682993946058,0.04127682993946058,0.08333333333333348,0.08771929824561409,4.556157885820769,8.644858659424763,-1.025181362286382,-1.1415601503759398,-0.041869826038128166,-0.02565076952308576,0.1441743503772004,0.02995391705069106,0.04595336076817569,0.4193548387096775,-0.1077464788732394,0.004640371229698292,-0.0008163265306122547,0.05714285714285716,-0.27533253624271414
2004-09-30,-0.009479672609063239,-0.04552483244504946,-0.06551125167012772,0.20262342165636338,0.11046919163369129,0.04593786657585053,-0.11210359408033832,-0.11210359408033832,-0.1230769230769232,-0.11290322580645151,-0.22048600524422224,-0.9350082551546721,28.350734725444703,0.9788208737219493,-0.08647351685080307,-0.04758190327613099,0.0586080586080584,-0.02684563758389258,0.0859016393442622,-0.09090909090909083,-0.13062352012628253,0.1212471131639723,-0.054738562091503296,0.027027027027026973,-0.2063418406805878
2004-12-31,0.14679927019421934,-0.34314676152139667,0.009037765200703873,-0.03832767835039541,0.4410197411958745,0.10919165973252287,0.38448717185546766,0.38448717185546766,0.29824561403508776,-0.2727272727272727,-0.03485029237478732,75.20204805041355,-3.5168970105795707,3.8830062070122464,-0.5544880854456009,0.243038493038493,0.03460207612456756,0.020689655172413834,0.2820048309178744,0.14687499999999987,0.21561507035860195,0.25643666323377956,0.010371650821089151,0.0,-0.316962255570714
2005-03-31,-0.005342861177156988,-0.06114887733498475,-0.01626299796811348,-0.14193885431336029,0.04083556123285281,0.0959854312195918,0.09867572448189876,0.09867572448189876,0.04054054054054057,0.5249999999999999,-1.1700877388502766,-1.0061040847232487,-1.0591881068914073,-0.8789044785554289,-0.12563713224548567,0.053368473068687194,-0.048829431438127124,0.05180180180180183,0.035327366933584514,-0.17983651226158037,0.11575802837938753,0.04644808743169393,0.018819503849443864,0.026315789473684292,0.09416016739585342
2005-06-30,0.027398599442252092,0.20194900076318612,0.013687694112898496,0.17566244010906118,0.0398036359390761,0.03295934765787756,0.026924431573592145,0.026924431573592145,0.012987012987013102,0.032786885245901676,-9.021920419347152,-3.418289585097375,0.11293888741487579,-3.762993645029505,0.39701434127171775,-0.011884284597341699,-0.043600562587904235,0.047109207708779355,0.016378525932666088,-0.046511627906976605,-0.02978580990629187,0.012010443864229892,0.015113350125944613,0.025641025641025772,0.022340055632823264
2005-09-30,0.14588610782267875,-0.02506644714380979,0.2031993558651335,0.4211379551032355,0.058397200715488706,0.12421671300364445,0.0864677413208339,0.0864677413208339,0.07692307692307687,0.06349206349206349,0.11796067482475947,10.639880952380953,2.3637158296249203,-1.659472225074443,-0.1874139178747345,0.13340718468112045,0.008088235294117618,0.04703476482617597,0.06893464637421665,0.11846689895470375,0.1279751638496034,-0.07610939112487103,0.03473945409429269,0.02499999999999991,-0.31396139784031973
2005-12-31,0.025448538440473234,0.10555030093175932,-0.004933992565698153,0.35509186642795654,0.008319383398487812,0.16389038381042687,0.35969835145562956,0.35969835145562956,0.36904761904761907,0.3432835820895521,-0.07202539884961279,-0.8166258065486486,0.32408041768055007,-1.0369943636533492,0.00853233741516135,0.059759843619100916,0.10940919037199137,0.095703125,0.014656616415410495,-0.009345794392523255,0.004892966360856121,-0.016755096341803832,0.0383693045563549,0.04878048780487809,-0.1841730185288467
2006-03-31,0.0317211655918499,0.2958656254255452,-0.0005878925047017036,-0.1643256894320857,-0.0010044275558154236,0.02034884787722424,-0.09093254224171288,-0.09093254224171288,-0.08695652173913038,-0.09999999999999998,-1.0298180568876418,0.8910761154855642,-0.9911859689189431,-22.636363636363637,-0.18304693675537487,0.2395256916996047,0.05456936226166986,0.024955436720142776,0.07593891869583169,0.22012578616352196,0.018867924528301883,-0.031809145129224725,-0.0015396458814470604,0.023255813953488413,0.5507026205848842
2006-06-30,0.025667552157763618,0.05844028272102997,0.2435556982182785,0.22968510987576019,-0.33450205741158023,0.018220268880241086,-0.03700340522133938,-0.03700340522133938,0.03809523809523818,0.061728395061728225,-63.11377820451272,-0.11029666897987511,128.2327935222672,-2.7774276377217553,0.3982513794576312,0.004570578231292588,0.13902743142144658,0.00521739130434784,-0.3168392788645954,-0.06443298969072164,-0.06212664277180402,-0.3511293634496919,-0.014649190439475768,0.022727272727272707,-0.1392603477834925
