"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-09-30,156887997,156887997,1,6293847000,None,4363039000,None,1682907000,247901000,125000000,0,4055541000,248904000,15513000,11176000,0.07,0.07,0.33,99691000,-79550000,-27458000,-7317000,47908000,371687000,45.56,47.91,43.22,0.2122,0.054,9.93,4.43,21.59,33.83,0.6269,2.6032,0.2475,0.3249,0.16,-1.73,None
2016-06-30,156613451,156613451,1,6274228000,None,4269189000,None,1771156000,233883000,159126000,0,3955638000,251218000,224433000,221382000,1.42,1.41,0.33,102812000,-89140000,-22901000,-9229000,55225000,-199975000,41.65,44.16,39.14,0.2217,0.0552,10.29,4.52,38.21,33.5,0.597,2.4538,0.2569,0.3339,0.16,1.93,None
2016-03-31,156605152,156605152,1,6142213000,None,4320947000,None,1603162000,218104000,159126000,0,3917590000,246239000,26057000,23223000,0.15,0.15,0.33,73953000,-65571000,5283000,13665000,64454000,71739000,38.44,41.91,34.97,0.1167,0.0294,9.22,4.12,25.29,33.17,1.1332,2.7129,0.2351,0.1727,0.16,0.01,None
2015-12-31,156599775,156599775,1,6144194000,None,4380289000,None,1622391000,141514000,159126000,43900000,3873160000,245875000,69656000,66639000,0.43,0.43,0.3,101447000,44822000,-140721000,5548000,50789000,-75915000,38.36,40.83,35.88,0.1618,0.0402,9.34,4.16,28.41,32.84,0.7821,2.6469,0.2382,0.2405,0.16,1.13,None
2015-09-30,156423545,156423545,1,6217662000,None,4468898000,None,1601690000,147074000,159126000,0,3935899000,246387000,21925000,19179000,0.12,0.12,0.3,101140000,-131871000,29137000,-1594000,45241000,-4239000,37.57,40.43,34.71,0.152,0.0354,9.22,4,18.06,32.54,0.8668,2.7284,0.232,0.2103,0.16,0.67,None
2015-06-30,156281519,156281519,1,6157694000,None,4339609000,None,1628910000,189175000,159126000,0,3866007000,244783000,63869000,60804000,0.39,0.39,0.3,92653000,-104291000,-106017000,-117655000,46835000,107191000,38.09,39.66,36.52,0.2484,0.0532,9.4,4.09,17.31,32.24,0.5441,2.6303,0.2387,0.3181,0.16,-0.09,None
2015-03-31,156278378,156278378,1,6215453000,None,4380827000,None,1615527000,219099000,159126000,0,3888284000,244265000,93260000,89344000,0.58,0.58,0.28,64651000,20443000,50425000,135519000,164490000,-20763000,39.07,41.55,36.59,0.2896,0.0555,9.32,5.86,18.97,31.94,0.4931,2.6698,0.2343,0.3321,0.16,0.55,None
2014-12-31,156277762,156277762,1,6097028000,None,4654923000,None,1227735000,214370000,186126000,45100000,4135139000,242178000,39252000,36270000,0.25,0.26,0.26,88035000,-101997000,13747000,-215000,28971000,166331000,35.08,38.53,31.62,0.303,0.0511,6.67,4.92,13.29,31.66,0.5151,3.97,0.1708,0.305,0.16,-0.5,None
2014-09-30,146205371,146205371,1,5937463000,None,4493908000,None,1228251000,215304000,186126000,0,3962236000,246843000,128028000,124706000,0.86,0.85,0.26,89110000,176988000,-270738000,-4640000,29186000,-112560000,33.19,34.87,31.51,0.4044,0.0651,7.13,5.08,14.75,31.4,0.386,3.8021,0.1755,0.408,0.16,1.38,None
2014-06-30,146188496,146188496,1,6078665000,None,4728855000,None,1140102000,209708000,186126000,0,4206202000,246418000,77042000,75010000,0.51,0.51,0.26,89478000,-15224000,-78830000,-4576000,33826000,-49480000,30.85,32.76,28.95,0.365,0.0538,6.53,4.87,17.04,31.14,0.4457,4.4091,0.1569,0.3435,0.15,0.95,None
