Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
2000-06-30,0.015126624505750641,,0.02225149185527653,,-0.05245870515932438,0.08332384526401126,-0.6349916154276132,-0.6349916154276132,-0.631578947368421,-0.631578947368421,-0.8672129986323538,-0.9548788039631989,-0.056698658953457826,-0.5819286080405413,-0.15050360513736427,0.1266624445851805,-0.148590021691974,-0.18518518518518512,-0.05211726384364812,0.12621359223300965,0.1976401179941003,0.1328125,-0.06706586826347316,-0.21818181818181825,0.04761904761904767,
2000-09-30,-0.010063811319194538,,-0.016898709576556925,,0.05398938855438429,0.05470115472858561,-2.358346094946401,-2.358346094946401,-2.3571428571428568,-2.3571428571428568,6.292121460812474,-3.327810998921674,2.0838705181365205,-1.5655231441856161,0.10019262295081965,-0.06745362563237767,-0.4853503184713376,-0.5,0.0453608247422681,-0.017241379310344862,0.14121510673234816,0.11724137931034484,0.06546854942233638,-0.5149501661129567,0.045454545454545414,
2000-12-31,0.011206123093270959,,-0.0024366316334435423,,0.1499059152360882,-0.019431484585352043,3.280045095828636,3.280045095828636,3.1315789473684212,3.1315789473684212,-0.6856715191689785,-2.6051545523456583,-1.8614299918647745,5.962940238066021,0.6341028210410249,-0.07836045810729364,-2.004950495049505,-2.0303030303030303,0.006574621959237303,-0.11403508771929816,0.8129496402877696,0.09876543209876543,0.13614457831325288,0.0,0.0,
2001-03-31,0.005522510650121104,,0.002725054666146809,,0.026331423995660463,-0.011967163469257969,-1.1383415867664102,-1.1383415867664102,-1.1210191082802548,-1.1210191082802548,2.2839470810433413,7.306118165599749,-1.6201731374606507,-2.337786315597775,-0.5191191556295165,0.10725964682799227,0.49753694581280805,0.5588235294117647,0.020248203788373553,0.0990099009900991,0.0,0.09550561797752799,0.021208907741251393,0.0,0.04347826086956519,
2001-06-30,0.014984009640985674,,0.01919280083138708,,-0.017074759092810976,0.021588068912316682,-0.5224676313785225,-0.5224676313785225,-0.5263157894736843,-0.5263157894736843,-0.22757552960673366,-0.8370415292675839,-0.8663762108201852,-1.3401691536171296,0.36721846142177217,0.05493207324276428,0.0625,0.1132075471698113,-0.01984635083226627,0.02702702702702675,0.0,0.08717948717948731,-0.03219106957424711,0.0,0.0,
2001-09-30,0.04753525004439374,,0.05681760954944326,,0.013316109406926735,0.021744011260129703,-9.883572567783094,-9.883572567783094,-10.11111111111111,-10.000000000000002,0.7166106766789939,0.6196697162350753,-4.284583729028173,1.5969740782815243,0.6975160534235747,-0.08342665173572217,0.2925696594427245,0.3220338983050848,0.009144350097975096,-0.06140350877192968,0.0,0.07547169811320731,-0.03218884120171672,0.0,0.0,
2001-12-31,-0.008446027181453042,,-0.0038458329244102085,,-0.053438157387695306,-0.07048330961849991,-1.385278276481149,-1.385278276481149,-1.3902439024390243,-1.382716049382716,-0.3686798503474078,0.4209927957684114,-0.5235639938319199,-0.7286451394826318,0.1115007843393574,-0.07269395235186327,-0.8862275449101796,-0.8846153846153846,-0.056957928802588986,-0.0841121495327104,0.0,0.07456140350877205,-0.045454545454545525,0.0,-0.04166666666666663,
2002-03-31,0.0165631699604194,,0.020705020502865823,,-0.017477554076772317,-0.019263081902286316,0.94641192917055,0.94641192917055,0.90625,0.967741935483871,0.14152491599156014,3.1045216058480225,1.1371497926570244,-5.942882265657916,-0.49584782780476067,0.13438735177865602,-1.9473684210526314,-1.8888888888888888,-0.019217570350034352,0.20408163265306123,0.0,0.03265306122448974,-0.03368176538908241,-0.7534246575342466,-0.0434782608695653,
2002-06-30,0.04657378659063682,,0.04229633441746117,,0.09683390266616221,-0.006989242662700401,-0.709600191525018,-0.709600191525018,-0.7049180327868853,-0.721311475409836,0.015597188626717218,-0.9096424724288279,-0.140108849976337,-1.6312303809477924,0.6208328169537738,0.022648083623693305,0.4111111111111112,0.375,0.09307207837648712,0.04237288135593231,4.241269841269842,0.035573122529644285,0.04807692307692313,0.4444444444444444,-0.045454545454545525,
2002-09-30,0.04164737924598283,,0.03954255520194172,,0.06792510786506134,0.026950918175188132,1.2159934047815333,1.2159934047815333,1.166666666666667,1.2941176470588234,0.7300108975295188,-3.1557064353512874,-0.01978590495060406,1.574713925893743,0.9862009719589178,-0.16354344122657571,4.102362204724409,4.090909090909091,0.0653008962868118,-0.2357723577235773,-0.4025590551181103,0.03053435114503822,0.025229357798165042,4.26923076923077,-0.04761904761904756,
2002-12-31,0.011406936379317445,,0.013033149765947716,,0.0008217203239793136,0.020037543895724985,-0.8563988095238095,-0.8563988095238095,-0.8717948717948718,-0.8717948717948718,-0.5217838820702643,-5.518207577976046,6.56729365524986,-1.0275897138869823,-0.01369901789171668,0.03258655804480659,-0.2006172839506173,-0.1964285714285715,-0.0012019230769230171,-0.031914893617021156,-0.8045875047522494,0.02962962962962945,-0.010067114093959662,-0.17518248175182494,0.0,
2003-03-31,-0.04936024551052132,,-0.055177059056200406,,-0.005182959333614567,-0.12806793490403012,5.507772020725389,5.507772020725389,6.199999999999999,6.199999999999999,0.8290003462768449,-0.23616372949243114,-1.2847406945727462,10.158277543598645,-0.15498052469111,-0.07495069033530577,-0.22586872586872586,-0.19999999999999996,-0.010228640192539218,-0.06593406593406603,0.12191958495460442,0.02877697841726623,0.04632768361581929,-0.17699115044247793,-0.050000000000000044,
2003-06-30,0.03230972734803017,,0.023629372849623742,,0.09163126862728999,-0.07273602681002844,0.21457006369426757,0.21457006369426757,0.22222222222222232,0.22222222222222232,-0.6919039116182897,-0.829948417422092,-3.010762074761241,-2.3452045865307696,0.24671681390682498,0.02274342572850041,0.22443890274314215,0.25,0.09057750759878425,0.0235294117647058,0.28612716763005785,0.03146853146853168,0.057235421166306644,0.317204301075269,-0.052631578947368474,
2003-09-30,0.03776214723126392,,0.04717133185840661,,-0.020285718096813343,0.09171821601759245,0.36348738118649626,0.36348738118649626,0.36363636363636354,0.34090909090909083,2.158180109405499,5.638834045302796,-1.053606604115909,-1.6389531298180697,-0.12644449699086968,0.04378040305767894,0.15071283095723031,0.15555555555555567,-0.021181716833890918,-0.034482758620689724,-0.1833707865168539,0.027118644067796405,-0.0561797752808989,0.204081632653061,0.0,
2003-12-31,0.01677887740729278,,0.02307938054581604,,0.13068039788585706,0.05139866190890485,3.7256009615384613,3.7256009615384613,3.500000000000001,3.5423728813559325,-0.4848765785357293,0.020893488628621393,-5.166445062250695,0.7935004610518877,-0.25960372623080874,0.07390146471371506,1.7716814159292031,1.9038461538461542,0.07630979498861046,0.09523809523809534,-0.07539900935608146,0.0264026402640265,0.11255411255411274,1.9661016949152543,-0.05555555555555547,
2004-03-31,0.009277992091797804,,-0.0015655583410256746,,0.09402112841923138,-0.021033997030494578,-0.6276419869267746,-0.6276419869267746,-0.6296296296296297,-0.6343283582089553,1.0046882290640577,-0.037581699346405206,-1.4466041950738344,-0.4804051586615157,-0.1821845432245195,0.1822690638561688,0.08365261813537672,0.13907284768211925,0.09206349206349218,0.09782608695652173,-0.581547619047619,0.025723472668810254,0.08365758754863806,0.1508571428571428,0.0,
