Unnamed: 0,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
32,2001-12-31,-0.03166919637363086,-0.1685314685314685,0.004761422348293021,-0.11426200027666344,-0.18683926645091692,-0.15744555620953504,1.833976833976834,1.8167938931297711,1.8122065727699528,1.8122065727699528,16.529411764705884,-0.313588850174216,-0.8550254747568319,-1.449648711943794,-0.20674802584350327,-0.19861778846153846,2.3430012610340483,2.094674556213018,-0.18691837277319867,-0.1234567901234569,0.0,0.025974025974025983,-0.15991583377169905,0.0,-0.09090909090909094,-0.06117290192113245
33,2002-03-31,0.004236390595212969,-0.09279506588169327,0.023089332526719183,-0.11338435108542864,-0.09498540726983284,0.08382815228780993,-0.4591280653950953,-0.456639566395664,-0.4574290484140234,-0.4574290484140234,-1.12751677852349,0.2148900169204737,-1.0543130990415337,0.2100694444444444,-0.3153846153846154,0.2598425196850393,0.3391173142210486,0.19694072657743789,-0.09483322432962717,0.5492957746478875,0.0,0.03797468354430378,-0.09893550407013152,0.0,-0.06666666666666654,0.023155627355950337
34,2002-06-30,0.015186669479012815,0.0855995055624228,0.029171183601064413,0.042451999295402436,-0.06801524479624743,0.11956171446986795,-0.5314861460957179,-0.5286783042394014,-0.5261538461538462,-0.5261538461538462,-0.02631578947368418,-0.6810584958217271,-26.058823529411764,-1.3357245337159254,0.1546596166556511,-0.2416666666666667,0.1949295774647888,0.051118210862619806,-0.0682803468208093,-0.1636363636363637,0.0,0.024390243902439046,-0.08200138985406535,0.0,-0.0357142857142857,0.041403508771930005
35,2002-09-30,-0.0011635154789112474,0.09422146313692004,0.014650962367135813,0.11287597161203113,-0.10506448568732307,-0.015544041450777256,0.7526881720430108,0.7460317460317459,0.7337662337662336,0.7337662337662336,-0.9189189189189187,-0.7816593886462881,-1.1009389671361502,-1.3846153846153846,-0.051516886090440805,-0.4226844583987441,0.18411126826968394,0.04711246200607922,-0.10585498255137647,-0.3804347826086958,0.0,0.03571428571428581,-0.10370931112793336,0.0,0.0,-0.016677897574123968
36,2002-12-31,0.02841452760327834,0.015088449531737824,0.12433937334843348,-0.019890677194048027,-0.686115992970123,-0.03274853801169586,0.11349693251533745,0.11212121212121208,0.11610486891385775,0.11610486891385775,68.0,1.2400000000000002,-6.046511627906978,-4.466666666666667,0.18829209414604708,-0.3140720598232496,-0.007565200079633572,-0.2351233671988389,-0.6860364267129229,-0.2280701754385964,0.0,0.02298850574712641,-0.6951013513513513,0.0,0.0185185185185186,0.03563474387527843
37,2003-03-31,-0.010315533980582492,-0.04766786263454637,0.0055819028832837505,0.04260263361735084,-0.4344904815229563,-0.04625151148730355,0.2837465564738293,0.2806539509536785,0.2785234899328859,0.2785234899328859,-1.7971014492753623,0.4732142857142858,0.004608294930875667,-1.358974358974359,-0.05688166582021325,0.026759167492566904,0.4659979939819458,0.045540796963946965,-0.4350828729281768,2.25,0.0,0.0224719101123596,-0.4293628808864266,0.0,0.0,-0.0865177832919769
38,2003-06-30,0.04463519313304731,0.3689451022604953,0.038313856427379056,-0.053046062407132284,0.34455445544554464,0.048177496038034784,-1.3948497854077253,-1.3829787234042552,-1.3832020997375327,-1.3674540682414698,-3.0303030303030303,-2.103030303030303,1.0229357798165142,-9.553571428571429,0.5158858373721056,0.19787644787644787,0.09756431308155444,-0.2867513611615245,0.3447432762836187,1.1188811188811187,0.0,0.03296703296703285,0.29126213592233,0.0,-0.036363636363636376,0.4454907642158639
39,2003-09-30,0.007982157530226575,-0.024572439551798664,0.01551571669748375,0.036403577592970304,-0.2680412371134021,0.041124886604172906,-1.891304347826087,-1.933333333333333,-1.9315068493150689,-1.9714285714285715,-0.4,-2.1703296703296706,-1.1723356009070294,-1.091858037578288,-0.03126110124333925,0.0298146655922642,0.0,-0.1806615776081425,-0.2672727272727272,-0.2343234323432343,0.0,0.021276595744680767,-0.2744360902255638,0.0,0.0,-0.05888248559258336
40,2003-12-31,0.0230969294670238,0.0010076582023377245,0.06930810639645335,0.002876608629825972,-2.3259557344064383,-0.01306999709555623,0.9939024390243902,0.9761904761904764,0.977941176470588,0.977941176470588,-0.5920398009950251,-0.6995305164319249,-0.5394736842105263,-0.8068181818181819,-0.006233956729006285,0.0007824726134584293,0.0,-0.059006211180124175,-2.3176178660049627,0.3663793103448276,0.0,0.02083333333333326,0.0,0.0,-0.018867924528301886,-0.0018636847710329363
41,2004-03-31,-0.006905448474730624,-0.056976041876384165,0.006922080325745039,0.029136473429951737,0.5599393019726859,-0.031194820482636887,0.17125382262996935,0.1656626506024097,0.1598513011152416,0.1598513011152416,-4.414634146341463,2.0,0.6571428571428573,30.176470588235286,-0.1955719557195572,-0.2103205629397968,0.0,-0.12211221122112215,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,-0.08362229927980791
42,2004-06-30,-0.07644991212653772,-0.1853116994022204,-0.0028306742151312787,-0.10679184391961273,1.8715953307392998,0.20321992709599024,4.125326370757181,4.0852713178294575,4.060897435897435,4.060897435897435,-1.2,0.17708333333333326,-0.2413793103448276,-0.5962264150943396,-0.09816513761467892,-0.3504950495049505,0.0,3.1654135338345863,1.845036319612591,0.0,0.0,0.0,0.0,0.0,0.05769230769230771,-0.0879056905836123
43,2004-09-30,-0.026765399412567725,-0.13155136268343814,-0.0008110599078341443,-0.026441123337165414,0.2117208672086721,-0.02272153496591767,-0.6709118695873663,-0.6692073170731707,-0.6732108929702343,-0.6732108929702343,-9.232142857142858,-0.4823008849557522,-2.3181818181818183,1.4299065420560746,-0.2644964394710071,-0.236280487804878,0.0,0.19584837545126368,0.17617021276595746,0.0,0.0,0.0,0.0,0.0,0.05454545454545445,-0.10802616882080752
44,2004-12-31,-0.07332313185411887,0.08811104405552195,0.018226764564808432,0.0021929824561404128,0.6203522504892367,0.001808318264014508,2.414860681114551,2.3963133640553,2.213178294573644,2.213178294573644,-0.04989154013015185,-3.6923076923076934,10.724137931034482,-2.0711538461538463,0.011756569847856113,0.08982035928143706,0.0,0.6399999999999999,0.4848046309696093,0.0,0.0,0.0,0.0,0.0,0.0862068965517242,0.0858676207513418
45,2005-03-31,-0.002935645153891997,0.06516916250693283,0.027865347682719088,0.1461033496044437,0.143719806763285,-0.059566787003610074,-0.5145058930190389,-0.5133423790140208,-0.5392038600723763,-0.5392038600723763,-1.3767123287671232,-1.2126984126984126,-0.875,-0.6714542190305206,0.12508544087491447,0.06043956043956045,0.0,0.18775885872066267,0.12451267056530213,0.0,0.0,0.0,0.0,0.0,0.06349206349206349,-0.0706754530477759
46,2005-06-30,-0.008096793485761644,-0.01431918771153351,0.006345625044066772,0.016448817741224753,0.05370342434756381,0.14751850836303815,-0.6433239962651727,-0.6394052044609666,-0.6544502617801047,-0.6544502617801047,-1.6181818181818182,0.4776119402985075,-2.223529411764706,-2.666666666666667,-0.18529769137302554,-0.4093264248704663,0.0,-0.247191011235955,-0.04290357529794142,0.0,0.0,0.0,0.0,0.0,0.04477611940298498,-0.03031377415351888
47,2005-09-30,-0.062427531190575536,0.13127311146328569,0.0046241154627617576,-0.2833405577228724,0.21159627773801004,0.007407407407407306,1.9581151832460733,1.9226804123711336,1.5492424242424243,1.5492424242424243,-1.9803921568627447,5.595959595959597,-6.509615384615384,-1.0655737704918034,0.014914243102162494,-0.30116959064327475,0.0,0.15542974781266095,0.011999094407969313,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.5786106032906764
48,2005-12-31,-0.00870640613405882,0.04599579733831427,0.04379663853825222,0.06149193548387099,0.1692071369490724,-0.017314990512333983,0.09292035398230092,0.09171075837742504,-0.031203566121842607,-0.031203566121842607,-0.88,-1.549770290964778,-0.5183246073298429,31.35,0.4753857457751654,-0.7071129707112971,0.0,-0.18574610244988865,0.12170022371364644,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,-0.014591777649102576
49,2006-03-31,0.025899495982833358,0.13995535714285712,0.07640141644952236,0.19924026590693256,0.1786760990399192,-0.10234129857591112,0.6753036437246964,0.6728594507269791,0.638036809815951,0.638036809815951,57.41666666666666,-1.3676880222841226,-1.5362318840579712,-0.3493044822256569,0.2096613545816733,-0.15714285714285714,0.0,0.27954048140043763,0.17869964100518554,0.0,0.0,0.0,0.0,0.0,0.012820512820512777,-0.04947702432718304
50,2006-06-30,0.008707072672438976,0.15566869003328754,0.0739269420564228,0.02470700031675644,0.1888879362085228,0.2516805592901317,0.06573223779603676,0.06470304200869137,0.04681647940074907,0.04681647940074907,-0.6490727532097005,0.28787878787878785,-0.5,-0.995249406175772,0.0008233841086866532,0.1186440677966103,0.0,0.3920478837109875,0.1890016920473772,0.0,0.0,0.0,0.0,0.0,0.03797468354430378,0.1278437190900099
51,2006-09-30,-0.002700487052128997,-0.003558115892917657,-0.001473860647920655,-0.05517774343122106,0.0003605942593394307,0.0008592910848550518,-1.0235827664399093,-1.0235827664399093,-1.0232558139534884,-1.0196779964221825,-0.6056910569105691,-0.6235294117647059,1.445945945945946,-75.0,-0.060880296174413824,0.8333333333333333,0.0,-0.18273955773955766,0.00028461647929423084,0.0,0.0,0.0,0.0,0.0,0.024390243902439046,0.05459329094496823
52,2006-12-31,-0.05120642135293263,-0.0843393980615541,-0.03869529983792541,-0.05627351545885817,-0.020041813856246808,-0.1118265722257995,-39.096153846153854,-39.096153846153854,-39.384615384615394,-46.36363636363637,-1.5257731958762886,-1.078125,0.12154696132596675,0.6824324324324325,-0.10906701708278577,0.12396694214876035,0.0,0.14280345734686195,-0.02005975245411884,0.0,0.0,0.0,0.0,0.0,0.0,-0.029729729729729763
53,2007-03-31,0.00963204566303122,0.13909006499535748,0.008189071202769904,0.3865487952851448,0.006106084013830726,0.0014499758337360724,-0.9343765774861179,-0.9343765774861179,-0.9338677354709419,-0.9338677354709419,-8.058823529411764,-16.0,0.1133004926108374,-1.2369477911646587,0.029006882989183858,-0.3823529411764707,0.0,-0.30614929299572496,0.0060975609756097615,0.0,0.0,0.0,0.0,0.0,0.03571428571428581,-0.1784872509106492
54,2007-06-30,0.7027913785270811,0.018747962178024213,-0.2754800370292949,-0.03350418802350297,-1.6926001754899094,0.0,0.0,0.0,0.0,0.0,-1.5833333333333337,-0.2533333333333333,-0.6725663716814159,-6.7627118644067785,-0.12565695174390826,0.0,0.0,0.0,-1.567965367965368,0.0,0.0,0.0,13.549222797927461,0.0,0.0,0.05412102243088146
55,2007-09-30,-0.02848757929685186,-0.09665546487437993,-0.05098507954826481,-0.13284180571724225,0.0291385135135136,0.2613416988416988,-2.6923076923076925,-2.6923076923076925,-1.8484848484848488,-1.8484848484848488,-1.0571428571428572,4.035714285714286,-1.8513513513513515,-0.39117647058823535,-0.11311475409836068,20.86904761904762,0.0,0.0,-0.0797764227642277,-0.8517350157728707,0.0,0.0,0.05911680911680905,0.0,0.0,0.04169244092539914
56,2007-12-31,-0.010679522777896407,-0.07174490699734283,-0.031053203040173668,-0.01476730310262531,0.037443578169880976,0.0,0.0,0.0,0.0,0.0,43.33333333333334,-0.3262411347517731,9.841269841269842,-5.951690821256037,0.6315465187923599,-0.04354926510615143,0.0,0.0,-0.0444505797901712,0.042553191489361764,0.0,0.0,0.048755884330867534,0.0,0.0,-0.05783847980997636
