Unnamed: 0,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
18,2000-09-30,0.03106948605334336,0.02949576432371082,0.0725190839694656,0.07882754695503702,0.1737089201877935,0.1737089201877935,0.13265306122448986,0.12371134020618554,0.19896193771626305,-0.5250855188141391,-0.8551959114139693,-6.75,0.10849056603773576,0.20192130057269544,0.031018206338503163,0.03846153846153855,0.06707099536211203,0.13170731707317085,0.18918918918918906,0.062337662337662365,0.03825136612021862,0.048465266558966213,0.0
19,2000-12-31,-0.03223768096318114,-0.037735627734572064,0.10676156583629903,0.02848852545502512,0.09200000000000008,0.09200000000000008,0.09909909909909898,0.08256880733944949,0.0966810966810967,-0.4549819927971188,-2.8117647058823527,-1.3478260869565215,-0.03404255319148941,0.11251152782047336,-0.026160889470241974,0.03703703703703698,0.05449682380474763,0.0431034482758621,0.04066985645933019,0.06112469437652801,0.14473684210526305,0.02003081664098616,0.0
20,2001-03-31,-0.03513047128232638,-0.04271399663554132,0.13156484458735274,-0.04539625545011538,-0.1208791208791209,-0.1208791208791209,-0.14754098360655732,-0.13559322033898302,-0.5973684210526315,3.182819383259912,-6.3344155844155825,-7.25,0.22026431718061668,-0.1510085659021828,-0.09402283411685708,0.017857142857142794,0.1296766011414079,-0.19421487603305787,-0.18620689655172407,0.05760368663594464,0.17241379310344818,-0.012084592145015005,0.125
21,2001-06-30,0.07504863872004641,0.07887431554819813,0.0039071749940799965,0.03358409457281032,-0.05833333333333335,-0.05833333333333335,-0.08653846153846156,-0.07843137254901966,0.2287581699346406,-0.4791995787256451,-0.595861229458308,-0.06000000000000005,0.16967509025270755,0.03612693246541898,-0.0578206078576724,0.0,0.0,-0.08205128205128198,0.05579096045197729,0.05446623093681914,-0.06470588235294117,-0.009174311926605559,0.0
22,2001-09-30,-0.04111236630753057,-0.044863320900807364,0.03384833117112862,-0.032492851572654025,-1.4557522123893805,-1.4557522123893805,-1.4526315789473685,-1.4574468085106382,0.002659574468085069,0.20626895854398386,0.2243975903614457,-0.9787234042553192,0.003086419753086433,-0.06250981623998753,-0.3965381589299764,-0.3508771929824561,0.003367948358125039,-0.06145251396648055,-0.056187290969899606,0.051652892561983466,0.07756813417190789,-0.3533950617283951,0.0
23,2001-12-31,0.06228166834689231,0.06412886324036426,0.028177047684234457,0.036002149382052595,-2.3980582524271847,-2.3980582524271847,-2.3488372093023253,-2.3488372093023253,2.2997347480106103,0.2196144174350376,-0.6986469864698647,27.0,0.08615384615384625,-0.02211425699447145,-0.23859191655801826,-0.21621621621621634,0.0237762237762238,-0.029761904761904767,0.5265768958185684,0.05108055009823187,-0.03307392996108949,-0.2004773269689737,0.0
24,2002-03-31,0.020409627120140383,0.02132675279430973,0.002884722068123846,0.011410788381742698,1.0277777777777777,1.0277777777777777,1.0517241379310347,1.0172413793103448,-0.6889067524115755,-0.4673539518900344,0.5755102040816327,-1.0714285714285714,-0.005665722379603388,0.10073667980126788,0.08390410958904093,0.06896551724137945,-0.0019125683060109426,0.07975460122699385,0.41364902506963785,0.048598130841121634,-0.016096579476861158,0.08955223880596996,0.0
25,2002-06-30,-0.028658407998399468,-0.03363881340322228,0.06825976324814698,-0.003846153846153833,-0.3664383561643836,-0.3664383561643836,-0.3697478991596639,-0.3675213675213673,0.8785529715762275,0.8825806451612903,0.7927461139896372,19.0,-0.0911680911680912,-0.003891050583657573,-0.10268562401263814,-0.06451612903225812,0.06734191075828089,-0.005681818181818232,-0.06995073891625614,0.046345811051693435,0.10020449897750504,-0.0767123287671232,0.0
26,2002-09-30,-0.02281267222231497,-0.03168001129538012,0.133285004142502,0.01956241956241956,0.4324324324324325,0.4324324324324325,0.4133333333333333,0.4324324324324325,0.34525447042641,1.4304318026045235,2.8468208092485554,-3.35,0.2946708463949843,-0.22171875,0.6144366197183098,0.6896551724137931,0.1000256476019492,-0.26857142857142857,-0.14618644067796616,0.04429301533219765,0.1579925650557621,0.685459940652819,0.0
27,2002-12-31,0.03705159537196856,0.04078470922744182,-0.01909896737640504,0.05049229992426163,-0.02641509433962264,-0.02641509433962264,-0.04716981132075471,-0.056603773584905766,-0.43047034764826175,-0.7619853355893965,-0.9064613072877536,-1.3829787234042552,-0.0871670702179177,-0.12186307970287093,0.08069792802617215,0.12244897959183665,-0.020051294007927267,-0.203125,-0.4904880066170389,0.04404567699836881,-0.052969502407704594,0.10739436619718302,0.0
28,2003-03-31,0.036332075388781686,0.046150523323351456,-0.12036519470840325,0.04085556356645048,-6.406976744186046,-6.406976744186046,-6.405940594059406,-6.46,0.19748653500897675,0.9040284360189574,3.883534136546185,-8.722222222222221,0.7374005305039788,-0.07407407407407407,-1.6801210898082746,-1.690909090909091,-0.12110397335236744,-0.058823529411764726,-0.17207792207792216,0.042187499999999815,-0.15254237288135594,0.0,0.0
29,2003-06-30,0.10147516392182633,0.09534358173143986,0.21785638635882232,0.08104363888247512,-1.3634408602150538,-1.3634408602150538,-1.3461538461538465,-1.3443223443223444,0.002998500749625155,1.3478531425015556,1.3651315789473686,-1.8129496402877696,-0.3450381679389313,0.08666666666666667,-0.4910979228486647,-0.5,0.10232809962100696,0.2395833333333333,0.0,0.040479760119940034,0.10599999999999987,0.0,0.0
30,2003-09-30,0.017151024297284326,0.018945298570569813,-0.013479432994173424,0.056599743699273786,-0.3234714003944773,-0.3234714003944773,-0.35978835978835977,-0.3617021276595744,1.304932735426009,-0.6042936655181553,-0.9920027816411684,-1.2964601769911503,0.1561771561771561,0.19995455578277666,-0.22157434402332354,-0.21052631578947367,-0.015225933202357544,0.09243697478991607,0.0,0.03890489913544658,-0.028933092224231568,0.0,0.0
