Unnamed: 0,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover
15,1998-09-30,0.04236169394876922,0.04392506392074247,0.03621994523186189,-0.005388471177944831,0.0070805720265085794,0.0070805720265085794,0.02941176470588225,0.03030303030303028,-64.81560730018879,1.7700670936261056,1.0594399967815908,-2.267545116012604,0.3368759230780942,0.058568329718004186,0.005598320503848786,-0.01320132013201325,0.03703703703703698,0.02961275626423698,0.0014784151389708455,-0.005914243469689495,-0.010351966873705987,0.0
16,1998-12-31,-0.03389970743670179,-0.060615408697927926,0.07183418821414,0.09541485350985156,0.024521178956118158,0.024521178956118158,0.05714285714285716,0.11764705882352945,-0.3374061911383293,-0.8579276784780443,-1.5628278132111777,-1.7341920903954802,-0.18500717523518828,0.040983606557376984,-0.02783576896311768,-0.013377926421404672,0.0714285714285714,0.004424778761062065,0.0,0.10956866633614283,-0.03138075313807531,0.032258064516129004
17,1999-03-31,0.12319589686378475,0.13896901619864474,0.06848408834078246,-0.005747940002005403,0.129644028261384,0.129644028261384,0.10810810810810813,0.026315789473684292,-0.450936909315513,6.068735712348405,-3.697903651256421,-1.6105639005171142,0.13860085525028645,0.1082677165354331,-0.0014316392269146938,-0.006779661016949157,0.06666666666666665,0.033039647577092664,0.08680248007085932,-0.048704200178731005,0.0032397408207343052,0.0
18,1999-06-30,0.19963274762938,0.2171229328289608,0.1349629144390676,0.01816218717464224,0.02759157289921,0.02759157289921,-0.3170731707317073,-0.3076923076923077,0.8772058225583477,-0.29053865169894266,-0.7353535223588741,-2.9194394031054647,-0.23365162747312096,0.056838365896980436,-0.030824372759856836,-0.03412969283276457,0.1328125,-0.008528784648187626,0.010323281716924535,-0.054015969938938535,0.02260495156081821,-0.0625
19,1999-09-30,-0.05067296590603565,-0.05090017108216094,-0.04977206229397402,0.027417174553971968,0.025016017240375055,0.025016017240375055,0.03571428571428559,0.03703703703703698,-0.30596950268584305,0.7671441374621424,3.718323894708699,-1.7072542942690547,0.21563445923221056,-0.1394957983193278,-0.0014792899408282436,-0.0035335689045936647,-0.04137931034482767,-0.24086021505376354,-0.1820381823070717,0.0009930486593843213,0.01684210526315799,-0.033333333333333326
20,1999-12-31,0.04827358196365328,0.04307647020263184,0.06885646771140719,0.0619231390874575,-0.007955223456544647,-0.007955223456544647,-0.0344827586206895,0.0714285714285714,-0.5083328131826976,-1.110381462454913,-1.2278262571731762,-0.6545603089720737,0.0612755754054517,0.041015625,-0.011111111111111072,-0.02836879432624106,0.06474820143884896,0.08498583569405116,-0.011176857330703616,0.019841269841269767,0.013457556935817738,-0.0344827586206895
21,2000-03-31,0.1792138229104454,0.21135633745299032,0.05498544475974687,0.058480484698305135,0.2359882005899705,0.2359882005899705,0.2499999999999997,0.13333333333333353,-7.312047733908849,-1.8888976908147503,-4.746647975218758,-2.268329391528704,-0.07323037962112366,-0.018761726078799223,0.019475655430711614,-0.018248175182481785,0.05405405405405417,-0.07832898172323766,-0.06017287234042545,-0.10554474708171202,0.02757916241062297,-0.0357142857142857
22,2000-06-30,-0.04233250917689535,-0.053154523397884734,0.005693280486808838,0.050534558352379744,0.04333016660101485,0.04333016660101485,0.05714285714285716,0.0588235294117645,-2.690144810941271,-7.393102219053558,-3.4001858747276765,-0.6368876080691643,-0.028691983122362874,0.3403441682600381,0.0521675238795003,0.040892193308550207,0.006410256410256388,0.2719546742209633,0.2500884329678106,0.050027188689505175,0.02186878727634212,0.0
23,2000-09-30,0.01785678237575139,0.007037658097638565,0.06306028461616209,-0.02460173761028161,-0.0063295356119661425,-0.0063295356119661425,-0.027027027027027084,-0.02777777777777779,-0.330576512681375,-1.066018930259141,-0.6533297462020828,-10.99719887955182,0.29531256464358124,0.269614835948645,0.012569832402234526,0.014285714285714237,0.0573248407643312,0.26280623608017817,0.18053197509903773,0.04453650958052813,0.02431906614785984,0.0
24,2000-12-31,-0.08436024115383013,-0.11009235907915638,0.017485606088309742,0.0698984955279438,-0.014460685709177025,-0.014460685709177025,0.0,0.0,0.8532676001256199,17.009396114864863,-0.004554784336763929,-0.7698234799663771,0.052476923568303135,-0.006741573033707926,0.0193103448275862,0.042253521126760514,0.012048192771084263,-0.0599647266313933,-0.05824544582933844,0.1110560237977194,0.01709401709401703,0.03703703703703698
