,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
10,1996-04-30,0.07420564436550238,0.04855735397607308,0.08706051183927288,-0.2078337330135891,0.013544018058690764,0.033519553072625774,0.18181818181818188,0.2666666666666666,0.30000000000000004,0.30000000000000004,-1.0517241379310345,-2.364705882352941,-2.0843881856540083,-1.1237458193979932,0.19892473118279572,-0.0064695009242143895,-0.15587529976019188,-0.12698412698412698,0.019062748212867357,-0.03409090909090917,0.0,-0.05130228887134969,-0.12796208530805686,-0.0325203252032521,0.3236200369750859
11,1996-07-31,-0.0982913834282565,0.04855735397607308,-0.11947194719471944,-0.2078337330135891,0.008908685968819663,-0.060135135135135125,-0.3461538461538461,-0.5263157894736843,-0.5,-0.5,4.083333333333333,-2.3017241379310347,-2.4980544747081708,-1.5945945945945947,-0.09865470852017932,-0.016744186046511622,-0.19090909090909086,-0.16000000000000006,0.044427123928293184,-0.03529411764705881,0.14720812182741128,0.12229617304492503,-0.17934782608695646,-0.02521008403361347,0.3236200369750859
12,1996-10-31,0.0851670741646291,0.04855735397607308,0.10194902548725636,-0.2078337330135891,0.011037527593819041,0.04313443565780006,-1.0,-1.7777777777777777,-1.7692307692307692,-1.7692307692307692,3.540983606557377,-1.9006622516556293,-1.7298701298701298,-14.0,1.4228855721393034,-0.10690633869441823,-0.6151685393258427,-0.4588744588744588,0.016417910447761086,-0.14634146341463414,0.1047197640117994,-0.06449221645663439,-0.5827814569536425,-0.043103448275861884,0.3236200369750859
13,1997-01-31,-0.1068343972962824,0.04855735397607308,-0.13038548752834467,-0.2078337330135891,0.006550218340611425,-0.10682288077188153,inf,-2.142857142857143,-2.0,-2.0,-1.5054151624548735,-1.7352941176470589,-2.245551601423488,-2.013986013986014,-0.5954825462012321,0.02648305084745761,-0.20620437956204385,-0.08799999999999998,-0.15712187958883986,0.014285714285714237,1.6408544726301737,0.12916006339144204,-0.17460317460317465,-0.009009009009009028,0.3236200369750859
14,1997-04-30,0.09396678578936313,0.04855735397607308,0.106910039113429,-0.2078337330135891,0.04013015184381774,0.1967592592592593,1.0,1.875,2.1,2.1,-1.9642857142857144,-2.67,-1.6828571428571428,-1.137931034482759,0.20304568527918776,0.058823529411764726,0.11264367816091968,0.07894736842105265,0.2621951219512195,0.2535211267605635,0.3301314459049545,-0.03578947368421048,0.11538461538461542,0.027272727272727115,0.3236200369750859
15,1997-07-31,-0.05514988470407378,0.04855735397607308,-0.06855123674911656,-0.2078337330135891,0.004171011470281538,0.022566086395873645,0.16666666666666674,0.21739130434782614,0.22580645161290325,0.22580645161290325,-0.7111111111111111,-1.6616766467065869,-2.1924686192468616,-1.625,-0.1054852320675106,0.5867446393762186,0.5433884297520661,0.2845528455284554,-0.04899930986887513,0.258426966292135,0.4063093880653745,0.06404657933042213,0.517241379310345,0.026548672566371726,0.3236200369750859
16,1997-10-31,0.12182224933902795,0.04855735397607308,0.13707637835103692,-0.2078337330135891,0.05919003115264788,0.22194199243379573,1.0,1.2142857142857144,2.3947368421052637,0.0,7.871794871794872,-1.7737556561085972,-1.7789473684210526,-16.880000000000006,1.8726415094339623,0.4361179361179359,1.2436412315930387,0.8607594936708858,0.14368650217706835,0.5178571428571426,-0.08432432432432424,-0.037619699042407695,1.1590909090909087,0.07758620689655182,0.3236200369750859
17,1998-01-31,-0.10641769398114576,0.04855735397607308,-0.12010676156583633,-0.2078337330135891,-0.04607843137254897,-0.108875128998968,-0.4571428571428572,-0.5,-0.6666666666666667,0.10526315789473673,-1.9595375722543351,-1.8947368421052635,-2.09009009009009,-2.0604534005037785,-0.6912972085385878,0.027801539777587703,0.16945107398568027,0.1428571428571428,-0.0583756345177665,-0.10588235294117644,-0.6590909090909092,0.05117270788912598,0.11578947368421065,0.05600000000000005,0.3236200369750859
18,1998-04-30,0.20693852708460134,0.04855735397607308,0.3035894843276037,-0.2078337330135891,-0.1860226104830421,0.1823972206137812,0.763157894736842,1.032258064516129,1.0930232558139537,1.119047619047619,-1.5030120481927711,-4.627450980392156,-3.698347107438016,-1.629453681710214,1.4095744680851063,0.3137744486059093,0.24693877551020416,0.17261904761904767,-0.2082210242587601,0.4013157894736841,0.1385281385281385,-0.10412440838404324,0.18867924528301885,0.03787878787878785,0.3236200369750859
19,1998-07-31,-0.10119347789544464,0.04855735397607308,-0.11634671320535195,-0.2078337330135891,-0.002525252525252486,-0.0822722820763957,-0.25373134328358204,-0.2063492063492064,-0.18888888888888888,-0.1910112359550562,1.1137724550898205,-0.981981981981982,-1.8070444104134764,-1.6943396226415093,-0.4061810154525386,-0.04783021856192593,0.09492635024549913,0.05076142131979711,-0.002553191489361617,0.2018779342723005,-0.23269961977186315,0.10943396226415092,0.0793650793650793,0.014598540145985163,0.3236200369750859
