,Quarter end,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
31,2001-09-30,-0.029278295811937968,-0.03353250185695067,0.02431325391755279,-0.03905831995719633,-0.035795887281035776,-0.03456221198156684,-0.03389830508474578,-0.0350877192982455,-0.7344280860702153,-0.788659793814433,-0.474854586129754,-1.7933726067746685,-0.2421885537022883,-0.16055983645227234,-0.029103053435114656,0.0,0.027145359019264514,-0.19064124783362213,-0.1763540290620872,0.050167224080267525,0.056980056980056926,0.006050129645635227,0.0
32,2001-12-31,0.12925772397535604,0.1386603124826382,0.01749944970283956,-0.00111358574610243,-0.1911532385466035,-0.1909307875894988,-0.2105263157894736,-0.20000000000000007,0.7430703624733475,-8.143754619364376,-4.927238647013716,-2.683126044180434,0.5379093497864262,0.02229299363057313,-0.07321867321867326,-0.06428571428571428,0.02046035805626589,-0.004282655246252598,0.012830793905372895,0.054140127388534916,-0.09838274932614556,-0.04553264604810992,0.0
33,2002-03-31,-0.042932597158668366,-0.04773793066059473,0.020984315846403367,0.005016722408026864,0.24609375,0.2497541789577187,0.28888888888888875,0.2727272727272729,-0.5259938837920489,-1.1839273705447209,-1.4005076582635485,-2.1663174148009263,-0.4079388959611157,0.048011728055708185,-0.0222693531283138,0.0,0.02172096908939003,0.027956989247311714,0.0728424386381632,0.051359516616314105,0.06726457399103136,0.0013501350135012302,0.0
34,2002-06-30,-0.004220053949253955,-0.006883025570809997,0.02881661192922968,0.01996672212978368,-0.006269592476489061,-0.007081038552321006,-0.017241379310344862,0.0,2.112258064516129,0.9336239628744198,-0.5768918260115921,-1.7896926713947992,0.5441099817565807,-0.10491344640671453,-0.03145336225596529,-0.022900763358778664,0.030253475061324583,-0.12343096234309625,-0.10885608856088567,0.048850574712643764,0.03501400560224077,-0.0040449438202248,0.0
35,2002-09-30,0.049445258641214414,0.052662655747948366,0.010915456698589177,-0.05673373210077936,-0.23974763406940056,-0.2408874801901744,-0.2280701754385964,-0.2321428571428572,-0.486318407960199,-2.7928727272727274,-3.462296760978108,-1.5005388576218417,-0.17637875015823454,-0.24321156475874184,-0.08062709966405368,-0.0859375,0.015079365079365026,-0.26730310262529844,-0.23975155279503105,0.046575342465753344,-0.03653585926928271,-0.054151624548736337,0.0
36,2002-12-31,-0.0048474307104775525,-0.006725590463276143,0.01857322332009104,0.009992313604919369,-0.0010373443983402453,0.0,-0.02272727272727271,-0.023255813953488413,1.0669895076674738,-1.4227243225701767,-1.3004731451151668,-2.7232057416267943,0.36902505251293616,-0.07847186370676296,-0.032886723507917215,-0.017094017094017144,0.018764659890539548,-0.0912052117263843,-0.022875816993463968,0.04450261780104725,0.02387640449438222,-0.007633587786259666,0.0
37,2003-03-31,-0.07671322400717362,-0.08374270801350936,0.008767251150076705,-0.022450532724505368,-0.01661474558670817,-0.01565762004175364,0.0,0.0,-0.9262007028504492,0.252758852317436,3.569821768472054,-2.827710676107177,-0.4926652196691864,-0.08487394957983196,-0.09005037783375325,-0.060869565217391286,0.011511895625479608,-0.10035842293906816,-0.07580824972129341,0.04260651629072676,0.09327846364883374,-0.061538461538461424,0.0
38,2003-06-30,0.07191554388650667,0.08082013906341623,-0.02643666765804176,0.04729466718567532,-0.2967265047518479,-0.2969247083775186,-0.3023255813953488,-0.2857142857142857,5.010582010582009,-2.081271543469935,-1.8642508235828696,-1.7477402202810484,0.7261193479383345,0.10958065503520054,-0.14740484429065734,-0.14814814814814825,-0.028831562974203306,0.09561752988047822,0.19481302774427034,0.04086538461538458,-0.09284818067754064,-0.13985655737704927,-0.16666666666666666
39,2003-09-30,0.0428246013667426,0.04481673305670042,0.018397203082040736,-0.023044043858018948,0.7087087087087087,0.7164404223227752,0.7333333333333334,0.7000000000000002,2.855633802816901,0.8044063474071974,-0.4766912022432527,-1.9291954490044696,-0.390880731592667,0.17737931034482754,0.04626623376623362,0.032608695652173836,0.021093749999999908,0.21090909090909093,0.3720343260979304,0.03926096997690531,-0.02213001383125868,0.048243001786777866,0.0
40,2003-12-31,0.017327619636659852,0.01724782017756521,0.018331500183315086,-0.024538710291040492,0.13971880492091393,0.13971880492091393,0.13461538461538458,0.11764705882352923,-1.1349315068493149,-1.0288563464331986,-0.8693067649028801,-1.1863999125396305,0.11961554651325935,0.0665417057169635,0.07447633824670308,0.08421052631578951,0.06044376434582999,0.04504504504504503,0.01508462104488606,0.04222222222222238,0.042432814710042566,0.09829545454545464,0.0
